pid,fgxp,fkicker,dist,good
659632,XP,CC-1150,33,1
659648,XP,PD-0200,33,1
659663,FG,CC-1150,22,1
659670,XP,CC-1150,33,1
659716,XP,CC-1150,33,1
659741,XP,DC-0500,33,1
659760,XP,DC-0500,33,1
659781,FG,DC-0500,26,1
659806,XP,DC-0500,33,1
659816,FG,DC-0500,51,1
659831,FG,DC-0500,54,0
659853,XP,DC-0500,33,1
659880,XP,AF-1150,33,0
659884,XP,DC-0500,33,1
659924,FG,SH-0400,31,1
659972,FG,SH-0400,21,1
659974,XP,SH-0400,33,1
659999,XP,SH-0400,33,1
660012,FG,SH-0400,45,1
660030,FG,SH-0400,48,1
660102,XP,BM-1650,33,1
660114,XP,MP-2100,33,0
660123,XP,BM-1650,33,1
660180,FG,BM-1650,48,1
660196,XP,BM-1650,33,1
660228,XP,MC-3000,33,1
660247,XP,MC-3000,33,1
660264,XP,CS-0250,33,1
660276,FG,MC-3000,44,1
660292,XP,MC-3000,33,1
660323,XP,MC-3000,33,1
660336,XP,CS-0250,33,1
660346,XP,MC-3000,33,1
660410,FG,JS-1100,45,1
660425,XP,JT-3950,33,1
660455,XP,JS-1100,33,1
660465,FG,JS-1100,36,1
660476,XP,JS-1100,33,1
660484,XP,JT-3950,33,1
660510,FG,JT-3950,40,1
660528,FG,JS-1100,49,0
660536,FG,JS-1100,41,0
660543,FG,JT-3950,42,1
660569,FG,JT-3950,52,1
660581,XP,NF-0300,33,1
660597,FG,NF-0300,22,1
660621,FG,NF-0300,48,1
660628,XP,AF-1150,33,1
660652,XP,NF-0300,33,1
660669,XP,NF-0300,33,1
660684,FG,NF-0300,40,0
660710,XP,AF-1150,33,1
660771,FG,AV-0400,54,1
660778,FG,JM-7000,20,1
660796,XP,JM-7000,33,1
660815,XP,AV-0400,33,1
660830,FG,JM-7000,32,1
660873,FG,AV-0400,32,1
660919,FG,JM-7000,53,0
660940,FG,JM-7000,48,0
660946,FG,AV-0400,27,1
660960,FG,JB-7100,47,1
660975,FG,DC-0500,51,1
660989,XP,JB-7100,33,0
661008,XP,JB-7100,33,1
661072,FG,DC-0500,30,0
661092,XP,DC-0500,33,1
661138,FG,GG-0100,24,1
661143,XP,GG-0100,33,1
661152,FG,KB-1850,42,1
661183,XP,GG-0100,33,1
661198,XP,KB-1850,33,1
661216,FG,KB-1850,29,0
661223,FG,KB-1850,43,0
661225,XP,GG-0100,33,1
661238,XP,GG-0100,33,1
661249,XP,KB-1850,33,1
661258,FG,GG-0100,27,1
661283,FG,GG-0100,27,1
661297,XP,KB-1850,33,0
661317,FG,DH-3970,20,1
661332,FG,DH-3970,38,1
661360,XP,DH-3970,33,1
661376,FG,CS-4250,33,0
661387,XP,CS-4250,33,0
661398,XP,CS-4250,33,1
661408,FG,DH-3970,33,1
661423,XP,CS-4250,33,1
661467,XP,DH-3970,33,1
661482,XP,RG-1500,33,0
661518,XP,SJ-0300,33,1
661528,XP,SJ-0300,33,1
661537,XP,RG-1500,33,1
661546,FG,RG-1500,19,1
661566,FG,SJ-0300,29,1
661598,FG,RG-1500,54,1
661623,FG,SJ-0300,41,1
661636,FG,RG-1500,49,1
661655,XP,MB-4600,33,1
661679,XP,MB-4600,33,1
661691,XP,MB-4600,33,1
661712,XP,MB-4600,33,1
661729,FG,NN-0200,53,0
661743,XP,MB-4600,33,1
661760,XP,MB-4600,33,1
661772,XP,NN-0200,33,1
661788,XP,NN-0200,33,1
661803,XP,NN-0200,33,1
661829,XP,MN-0800,33,1
661843,FG,CS-0250,22,1
661852,XP,MN-0800,33,1
661860,FG,CS-0250,40,1
661876,FG,CS-0250,51,1
661882,FG,MN-0800,44,0
661892,FG,CS-0250,34,1
661911,XP,MN-0800,33,1
661920,FG,CS-0250,40,1
661955,FG,CS-0250,29,1
661965,XP,MN-0800,33,1
661972,FG,CS-0250,51,1
662013,FG,TC-2450,36,1
662024,XP,JL-0207,33,1
662030,XP,TC-2450,33,1
662040,FG,JL-0207,46,1
662070,FG,JL-0207,45,1
662082,FG,TC-2450,28,1
662104,FG,TC-2450,33,1
662109,XP,JL-0207,33,1
662131,FG,TC-2450,40,1
662139,XP,JL-0207,33,1
662161,FG,JL-0207,34,1
662176,XP,MC-3000,33,1
662221,FG,PD-0200,33,1
662237,FG,MC-3000,44,0
662257,XP,MC-3000,33,1
662270,FG,MC-3000,31,1
662316,XP,GZ-2000,33,1
662338,FG,CC-1150,21,1
662357,FG,CC-1150,27,1
662373,FG,GZ-2000,30,1
662383,FG,CC-1150,42,1
662414,XP,GZ-2000,33,1
662425,FG,CC-1150,38,1
662437,FG,CC-1150,29,1
662446,XP,GZ-2000,33,1
662456,XP,CC-1150,33,1
662487,FG,BM-1650,33,1
662515,FG,BW-0350,38,0
662517,XP,BM-1650,33,1
662530,FG,BM-1650,47,1
662545,FG,BW-0350,38,1
662556,XP,BW-0350,33,1
662569,XP,BM-1650,33,1
662605,XP,BW-0350,33,1
662617,FG,BW-0350,33,1
662628,FG,BM-1650,39,1
662649,FG,DB-0200,30,1
662662,XP,ZH-0150,33,1
662676,XP,DB-0200,33,1
662719,FG,ZH-0150,51,1
662729,FG,DB-0200,38,1
662745,FG,ZH-0150,29,1
662766,XP,ZH-0150,33,1
662787,XP,DB-0200,33,1
662796,FG,ZH-0150,30,0
662842,XP,SH-0400,33,1
662855,FG,MP-2100,41,1
662867,FG,SH-0400,51,1
662884,FG,SH-0400,52,1
662928,XP,MP-2100,33,1
662968,FG,AV-0400,48,1
662983,XP,AV-0400,33,1
663004,FG,AV-0400,42,1
663019,FG,NN-0200,36,1
663039,XP,NN-0200,33,1
663045,XP,AV-0400,33,1
663066,XP,NN-0200,33,1
663087,XP,AV-0400,33,1
663097,FG,NN-0200,49,1
663134,XP,CS-0250,33,1
663151,FG,RG-1500,44,1
663168,XP,CS-0250,33,1
663196,FG,CS-0250,35,1
663212,FG,CS-0250,27,0
663223,FG,RG-1500,30,1
663282,FG,CS-0250,66,0
663291,XP,MN-0800,33,1
663301,XP,SH-0400,33,1
663355,FG,SH-0400,24,1
663371,XP,SH-0400,33,1
663377,XP,SH-0400,33,1
663405,XP,MN-0800,33,1
663424,XP,MN-0800,33,1
663437,FG,MN-0800,31,1
663463,FG,MN-0800,42,1
663501,XP,DH-3970,33,1
663515,FG,MB-4600,42,1
663538,FG,MB-4600,38,0
663549,FG,MB-4600,48,0
663558,FG,DH-3970,53,0
663570,FG,MB-4600,28,1
663605,FG,DH-3970,28,1
663617,XP,MB-4600,33,1
663622,FG,DH-3970,52,1
663640,FG,CB-0700,35,1
663665,XP,JM-7000,33,1
663674,FG,CB-0700,45,1
663684,XP,CB-0700,33,1
663696,XP,CB-0700,33,1
663705,XP,JM-7000,33,1
663721,FG,JM-7000,31,1
