olid,lt,lg,c,rg,rt
1429,ML-2000,RW-1600,DC-3400,BW-0600,NS-0500
1430,MS-4400,CK-0400,DL-0800,RF-0900,MG-0500
1431,RC-1200,ZB-0100,JW-0700,RH-2400,OF-0100
1432,SL-0800,KB-1400,DB-0100,CS-2800,DD-1400
1433,TS-2700,NL-0500,PC-0700,MB-2200,DF-1800
1434,JW-1400,CS-3100,RG-0500,LL-1200,GC-0300
1435,AC-1200,SO-0400,SS-0400,MM-2600,WJ-0700
1436,JT-1600,JP-3000,AM-0100,SL-0300,MS-0550
1437,BA-0200,RL-0800,RH-3200,JA-2500,EW-1500
1438,DF-0600,MS-2300,NM-0200,BM-3500,AH-3700
1439,CG-1250,AL-0700,EW-1600,KU-0200,EP-0300
1440,RS-0100,RT-2000,SW-0800,HD-0100,BR-0300
1441,JB-8200,BG-2200,BD-0800,JE-1000,ZS-0200
1442,TW-2800,KL-1000,WM-0800,CC-1700,TP-1800
1443,JL-2500,RI-0100,MP-2000,JJ-2100,JM-1130
1444,DB-4900,WS-0700,CM-3600,AC-0200,DN-0700
1445,MR-1700,SH-1500,FV-0100,LH-0700,DS-4400
1446,NS-0500,LM-0200,RW-1600,DC-3400,SV-0400
1447,MK-0150,CJ-1500,JS-7200,BF-1500,PL-0300
1448,EM-1300,EB-1300,BM-1900,UN-0100,CB-2400
1449,JG-3900,AS-0940,RK-0100,GH-0200,BB-1600
1450,DP-1100,CN-0700,JZ-0300,TL-0400,JT-3500
1451,RO-0400,PM-0700,MU-0400,JS-7450,BG-0500
1452,DB-1100,DC-3000,LS-0500,AS-2700,BM-0360
1453,JS-5700,MI-0200,JG-2400,AB-2100,AD-0600
1454,MN-0400,TL-0300,JS-0600,JS-3500,BB-3700
1455,RC-1200,ZB-0100,JW-0700,MR-0100,OF-0100
1456,MS-4400,WC-0200,MP-1900,RF-0900,MG-0500
1457,MO-0200,RH-0600,MB-2400,MY-0100,KO-0750
1458,AW-1100,CB-2000,JF-0200,KZ-0050,AS-2000
1459,JV-0300,CC-0600,AP-0350,MB-3600,KB-0500
1460,MH-1030,TG-1700,NH-0200,LV-0100,JC-3000
1461,AC-1200,SO-0400,SS-0400,MM-2600,JL-2000
1462,DP-1100,CN-0700,JZ-0300,TL-0400,DD-2300
1463,EM-1300,HT-0200,BM-1900,UN-0100,GW-0700
1464,NS-0500,LM-0200,RW-1600,DT-1100,SV-0400
1465,RS-0100,QO-0100,RT-2000,HD-0100,BR-0300
1466,FO-0200,PM-0700,MU-0400,JM-5400,BG-0500
1467,TS-2700,NL-0500,RC-2100,MB-2200,DF-1800
1468,JV-0300,CC-0600,SW-1900,MB-3600,KB-0500
1469,WB-0400,KB-1400,DB-0100,CS-2800,SL-0800
1470,JG-3900,AS-0940,RK-0100,GH-0200,GW-1100
1471,JW-1400,CR-0200,RG-0500,LL-1200,GC-0300
1472,WH-1000,QO-0100,RT-2000,HD-0100,BR-0300
1473,EM-1300,MB-3550,BM-1900,UN-0100,GW-0700
1474,DB-1400,EM-0400,DR-1250,DW-1600,TH-1500
1475,JV-0300,CC-0600,SW-1900,MB-3600,WS-0900
1476,RO-0400,PM-0700,MU-0400,JM-5400,BG-0500
1477,NS-0500,DT-1100,RW-1600,DC-3400,SV-0400
1478,BA-0200,JA-1050,RL-0800,JA-2500,EW-1500
1479,RO-0400,JC-1000,MU-0400,PM-0700,BG-0500
1480,AC-1200,JL-2000,AS-0920,MM-2600,WJ-0700
1481,JG-3900,AS-0940,RK-0100,GW-1100,BB-1600
1482,RO-0400,PM-0700,MU-0400,JC-1000,BG-0500
1483,CH-0200,AL-0700,EW-1600,CB-3800,EP-0300
1484,RC-1200,ZB-0100,DK-1000,MR-0100,OF-0100
1485,DP-1100,CN-0700,JZ-0300,JM-4100,DD-2300
1486,KD-1600,EM-0400,DR-1250,DW-1600,TH-1500
1487,AC-1200,JL-2000,SS-0400,MM-2600,WJ-0700
1488,MO-0200,BW-1800,MB-2400,MY-0100,KO-0750
1489,CH-0200,AL-0700,EW-1600,CR-0900,EP-0300
1490,RC-1200,ZB-0100,DK-1000,CK-1200,OF-0100
1491,SS-0400,WJ-0700,JL-2000,AC-1200,MM-2600
1492,JT-1600,JG-3100,AM-0100,SL-0300,MS-0550
1493,JG-3900,AS-0940,GH-0200,GW-1100,BB-1600
1494,JB-1400,SS-1900,RT-2000,HD-0100,BR-0300
1495,DB-4900,WS-0700,CM-3600,BJ-1950,DN-0700
1496,MS-4400,WC-0200,DL-0800,RF-0900,MA-0250
1497,JG-3900,AS-0940,GH-0200,JB-8600,BB-1600
1498,SB-0100,JB-3900,TM-1500,PK-0250,TC-1400
1499,KD-1600,EM-0400,DR-1250,DK-0430,TH-1500
1500,EM-1300,MB-3550,BM-1900,UN-0100,CB-2400
1501,MS-4400,WC-0200,MP-1900,RF-0900,MA-0250
1502,MO-0400,SH-1500,FV-0100,LH-0700,DS-4400
1503,DB-1100,DC-3000,LS-0500,RO-0300,BM-0360
1504,AW-1100,CB-2000,TR-0650,KZ-0050,AS-2000
1505,CG-1250,AL-0700,EW-1600,KU-0200,CH-0200
1506,MR-1700,SH-1500,FV-0100,DL-2400,DS-4400
1507,AC-1200,JR-1600,SS-0400,MM-2600,WJ-0700
1508,DP-1100,JZ-0300,TL-0400,JM-4100,DD-2300
1509,RO-0400,JM-5400,MU-0400,PM-0700,BG-0500
1510,WB-0400,KB-1400,DB-0100,CS-2800,DD-1400
1511,AC-1200,JR-1600,AS-0920,MM-2600,JL-2000
1512,JB-8200,BG-2200,BD-0800,JE-1000,CB-3400
1513,RS-0100,SS-1900,RT-2000,HD-0100,BR-0300
1514,DB-1400,EM-0400,DR-1250,DK-0430,KD-1600
1515,BA-0200,JA-1050,RH-2400,EW-1500,DS-4050
1516,TS-2700,NL-0500,MB-2200,DD-1900,DF-1800
1517,NP-0400,DC-3000,LS-0500,AS-2700,BM-0360
1518,MN-0400,ED-0500,JS-0600,JS-3500,TL-0300
1519,NS-0500,DT-1100,RW-1600,NM-0400,SV-0400
1520,EM-0400,DR-1250,JS-1300,DK-0430,KD-1600
1521,MO-0200,JR-1500,MB-2400,MY-0100,KO-0750
1522,RR-0250,RS-1200,DR-0300,SP-0900,GC-0400
1523,JP-0900,NL-0500,MB-2200,DD-1900,DF-1800
1524,NS-0500,DT-1100,RW-1600,DC-3400,MC-0400
1525,JW-1400,CS-3100,RG-0500,LL-1200,JS-1400
1526,MS-4400,DL-0800,MP-1900,RF-0900,MA-0250
1527,DS-4050,JA-1050,RL-0800,JA-2500,EW-1500
1528,MH-1030,RH-0100,NH-0200,LV-0100,JC-3000
1529,JB-8200,BG-2200,BD-0800,JE-1000,BH-0650
1530,KD-1600,EM-0400,DR-1250,JS-1300,DK-0430
