pid,bc,dir,yds,succ,kne
670588,DM-0450,LT,6,1,0
670589,DM-0450,RT,3,1,0
670590,DM-0450,RG,0,0,0
670600,JW-5650,NL,-1,0,1
670609,CS-1950,LG,5,1,0
670610,DM-0450,RG,10,1,0
670611,DM-0450,LE,4,1,0
670612,DM-0450,LT,1,0,0
670615,DM-0450,RT,2,0,0
670616,DM-0450,RE,4,0,0
670627,JN-0625,LE,0,0,0
670629,AE-0750,LG,3,1,0
670630,CJ-1700,RG,3,0,0
670631,CJ-1700,RG,-1,0,0
670633,CJ-1700,LT,1,0,0
670636,CJ-1700,LG,5,1,0
670640,IC-0300,RG,1,0,0
670642,IC-0300,RG,-1,0,0
670646,AE-0750,RG,0,0,0
670649,CJ-1700,RT,4,1,0
670650,CJ-1700,LT,13,0,0
670651,RT-1950,RG,-1,0,0
670661,IC-0300,LG,8,1,0
670663,IC-0300,LG,3,1,0
670668,CJ-1700,LG,5,1,0
670669,CJ-1700,RT,6,1,0
670675,IC-0300,RG,5,0,0
670677,IC-0300,RG,0,0,0
670683,JM-2900,MD,0,0,0
670684,JM-2900,LG,10,1,0
670685,RT-1950,RG,3,1,0
670690,CJ-1700,RT,4,1,0
670693,CJ-1700,LG,3,0,0
670696,CJ-1700,LG,0,0,0
670702,IC-0300,RG,5,1,0
670703,IC-0300,LG,0,0,0
670704,RT-1950,RG,1,0,0
670713,DJ-1850,RG,3,0,0
670718,CJ-1700,RT,1,0,0
670720,CJ-1700,LG,2,1,0
670726,IC-0300,LE,-7,0,0
670731,CJ-1700,RG,4,1,0
670732,CJ-1700,LG,4,1,0
670737,IC-0300,LG,0,0,0
670744,CJ-1700,RG,6,1,0
670745,CJ-1700,LG,5,1,0
670746,CJ-1700,RT,4,1,0
670754,CJ-1700,RT,0,0,0
670755,JM-2900,RT,6,1,0
670758,CJ-1700,LT,7,1,0
670759,CJ-1700,LT,-1,0,0
670764,CJ-1700,RG,6,1,0
670766,CJ-1700,LG,1,0,0
670769,CP-0500,MD,8,1,0
670776,JM-2900,MD,2,1,0
670779,JM-2900,MD,0,0,0
670780,CJ-1700,RG,2,0,0
670781,AE-0750,LG,-3,0,0
670783,CJ-1700,LG,3,1,0
670784,DJ-1325,RT,4,1,0
670786,CJ-1700,RG,8,1,0
670787,CJ-1700,RT,1,1,0
670788,CJ-1700,LG,7,1,0
670789,CJ-1700,RG,3,1,0
670790,CJ-1700,RG,3,0,0
670798,JM-0850,LT,1,0,0
670801,CP-0500,NL,-1,0,1
670802,CP-0500,NL,-1,0,1
670807,MD-0150,RG,0,0,0
670808,CK-0100,RE,9,1,0
670809,CK-0100,LE,2,0,0
670810,MD-0150,LG,5,1,0
670814,TG-1950,LT,5,1,0
670815,TG-1950,LG,1,0,0
670818,KG-0350,LT,-2,0,0
670822,TG-1950,LT,2,0,0
670825,TG-1950,MD,0,0,0
670829,MD-0150,RT,-1,0,0
670830,MD-0150,LT,-1,0,0
670831,MD-0150,MD,-1,0,0
670833,TG-1950,RG,3,0,0
670842,TG-1950,LT,4,0,0
670845,MD-0150,MD,-3,0,0
670847,CK-0100,MD,6,0,0
670849,TM-0650,LT,1,0,0
670858,MD-0150,RG,-1,0,0
670862,TG-1950,MD,71,1,0
670869,TG-1950,MD,3,0,0
670872,TM-0650,LT,1,0,0
670876,MD-0150,MD,2,0,0
670877,MD-0150,MD,1,0,0
670880,MD-0150,MD,3,0,0
670889,TA-1050,RE,6,1,0
670890,TG-1950,RT,4,1,0
670891,TG-1950,MD,5,1,0
670897,TA-1050,RE,2,1,0
670900,CK-0100,NL,-1,0,1
670902,TG-1950,RG,8,1,0
670903,TG-1950,RT,4,1,0
670904,TG-1950,LT,3,0,0
670912,TG-1950,RT,2,0,0
670913,TA-1050,MD,13,1,0
670914,TG-1950,MD,7,1,0
670915,TG-1950,RG,8,1,0
670917,TG-1950,LE,-5,0,0
670920,KG-0350,MD,1,0,0
670921,KG-0350,MD,2,0,0
670925,TM-0650,LT,3,0,0
670927,TM-0650,LT,6,1,0
670928,TM-0650,RT,4,1,0
670929,TM-0650,LE,-2,0,0
670930,TM-0650,RT,4,0,0
670931,TM-0650,RT,1,0,0
670936,CK-0100,RE,6,0,0
670939,TG-1950,RT,3,1,0
670940,TG-1950,RT,3,0,0
670941,TG-1950,MD,2,0,0
670944,KG-0350,LE,2,0,0
670951,TM-0650,RT,4,1,0
670952,TM-0650,RE,3,1,0
670956,KG-0350,MD,3,0,0
670958,CK-0100,LE,6,0,0
670961,TM-0650,RE,2,0,0
670962,TM-0650,LT,-1,0,0
670963,TM-0650,RG,4,0,0
670971,TM-0650,MD,9,1,0
670972,TM-0650,LT,7,1,0
670973,NF-0250,NL,-1,0,1
670974,NF-0250,NL,-1,0,1
670975,NF-0250,NL,-1,0,1
670978,KR-1050,LE,0,0,0
670982,RJ-0800,RT,1,0,0
670985,SV-0200,RG,-4,0,0
670988,AW-1350,LG,0,0,0
670989,AW-1350,LG,-1,0,0
670994,CS-3400,LG,3,0,0
670997,DB-3800,MD,1,0,0
671001,AW-1350,LG,4,1,0
671006,MI-0100,RG,7,1,0
671007,KR-1050,LT,3,1,0
671014,OD-0200,RG,6,1,0
671016,OD-0200,RG,17,1,0
671019,OD-0200,LG,0,0,0
671021,OD-0200,LG,0,0,0
671028,MI-0100,LT,3,0,0
671032,RJ-0800,RG,2,0,0
671044,MI-0100,RG,4,1,0
671045,KR-1050,LG,-1,0,0
671047,CS-3400,LG,9,1,0
671048,KR-1050,LG,2,1,0
671049,MI-0100,LG,-2,0,0
671050,MI-0100,LG,2,0,0
671055,SV-0200,LG,7,1,0
671069,RJ-0800,RG,5,1,0
671071,RJ-0800,RG,2,0,0
671079,MI-0100,RE,0,0,0
671082,MI-0100,LG,10,1,0
671087,AW-1350,RG,4,1,0
671091,CS-3400,LG,-2,0,0
671095,RJ-0800,LG,17,1,0
671098,AW-1350,RG,0,0,0
671103,MI-0100,LT,9,1,0
671105,MI-0100,LE,5,1,0
671106,CS-3400,RE,11,1,0
671108,MI-0100,LT,11,1,0
671114,RJ-0800,LG,12,1,0
671115,RJ-0800,RG,3,0,0
671117,RJ-0800,RG,4,0,0
671120,RJ-0800,LG,3,0,0
671123,RJ-0800,LG,5,1,0
671130,BC-2325,LE,-3,0,0
671140,MI-0100,LG,7,1,0
671143,MI-0100,RG,4,1,0
671151,MI-0100,RG,2,1,0
671159,MI-0100,RG,0,0,0
671160,MI-0100,LE,16,1,0
671161,MI-0100,RG,2,0,0
671171,AP-0700,RT,6,1,0
671176,MF-1300,LG,5,1,0
671177,MF-1300,RG,3,0,0
671182,AP-0700,RT,8,1,0
671183,AP-0700,LT,3,1,0
671184,AP-0700,LE,1,0,0
671188,AP-0700,RT,3,0,0
671191,MF-1300,LG,3,0,0
671192,MF-1300,RE,4,0,0
671197,MF-1300,LT,14,1,0
671198,ER-0500,RE,-1,0,0
671199,MF-1300,RT,0,0,0
671202,AP-0700,LT,1,0,0
671203,AP-0700,LT,3,0,0
671207,AP-0700,RT,11,1,0
671209,AP-0700,LT,9,1,0
671210,AP-0700,RT,12,1,0
671211,JM-3450,LE,2,0,0
671222,AP-0700,LG,12,1,0
671223,AP-0700,RG,3,0,0
671224,AP-0700,LG,5,1,0
671225,AP-0700,RG,-2,0,0
671227,MF-1300,RT,3,0,0
671231,MF-1300,RT,3,0,0
671234,JM-3450,RT,16,1,0
671243,MA-1150,RG,5,1,0
671245,MF-1300,RT,5,1,0
671247,MF-1300,LG,1,0,0
671251,JL-0280,RG,9,1,0
671252,JL-0280,RG,4,1,0
671258,AP-0700,LG,3,0,0
671261,TB-2650,LE,2,0,0
671267,JL-0280,RT,4,1,0
671270,JL-0280,RT,4,0,0
671273,JL-0280,RG,4,0,0
671277,AP-0700,LT,5,1,0
671278,AP-0700,LG,7,1,0
671279,AP-0700,LT,0,0,0
671281,AP-0700,LG,4,1,0
671286,JL-0280,RG,6,1,0
671287,JL-0280,LT,5,1,0
671288,JL-0280,LT,-1,0,0
671289,JL-0280,RG,3,0,0
671291,JL-0280,LT,2,0,0
671295,JL-0280,RG,4,1,0
671296,JC-6200,RE,7,1,0
671298,JL-0280,RT,2,0,0
671299,JC-6200,RE,4,1,0
671303,TB-2650,LE,19,1,0
671318,AP-0700,RG,9,1,0
671321,MG-1150,RG,3,0,0
671325,JF-2800,RG,2,0,0
671329,JF-2800,LG,1,0,0
671334,MG-1150,RG,3,0,0
671337,MG-1150,RT,3,0,0
671339,MG-1150,RG,4,1,0
671340,MG-1150,RG,4,1,0
671347,JF-2800,LE,8,1,0
671349,JF-2800,LG,2,0,0
671354,MG-1150,RG,4,1,0
671357,MG-1150,LG,3,0,0
671358,MG-1150,LE,1,0,0
671360,MG-1150,LG,3,0,0
671363,MG-1150,LG,5,1,0
671365,MG-1150,LG,-1,0,0
