pid,punter,pgro,pnet,ptb,pr,pry,pfc
657877,BW-2625,44,34,0,JC-5680,10,0
657896,MB-3000,60,60,0,CB-1130,0,1
657926,CJ-2100,45,45,0,EW-0500,0,1
657931,MB-3000,43,35,0,CB-1130,8,0
657946,MB-3000,59,55,0,LD-0850,4,0
657980,MB-3000,43,31,0,CB-1130,12,0
657986,CJ-2100,30,30,0,EW-0500,0,1
658003,CJ-2100,40,40,0,EW-0500,0,1
658020,CJ-2100,44,44,0,EW-0500,0,1
658047,BK-0700,49,49,0,GW-0650,0,1
658053,PM-0300,49,50,0,DM-1200,-1,0
658057,BK-0700,43,43,0,GW-0650,0,1
658074,BK-0700,31,31,0,GW-0650,0,1
658078,PM-0300,48,48,0,DM-1200,0,1
658103,PM-0300,54,52,0,DM-1200,2,0
658128,PM-0300,47,47,0,DM-1200,0,1
658163,PM-0300,51,53,0,DM-1200,-2,0
658172,BK-0700,40,40,0,,0,0
658197,BK-0700,49,49,0,GW-0650,0,1
658243,AL-0500,52,46,0,TC-0385,6,0
658251,MK-0760,46,41,0,TB-1060,5,0
658258,AL-0500,41,41,0,TC-0385,0,1
658262,MK-0760,41,37,0,TB-1060,4,0
658266,AL-0500,51,42,0,AC-2350,9,0
658312,AL-0500,67,76,0,AC-2350,-9,0
658379,MK-0760,34,34,0,TB-1060,0,0
658384,MK-0760,36,36,0,,0,0
658403,SK-0600,46,28,0,BT-0300,18,0
658440,KH-2600,53,53,0,MC-0150,0,1
658462,SK-0600,46,43,0,BT-0300,3,0
658480,SK-0600,35,35,0,AJ-1200,0,0
658508,KH-2600,57,36,0,MC-0150,21,0
658533,KH-2600,54,40,0,MC-0150,14,0
658537,SK-0600,47,43,0,BT-0300,4,0
658580,BA-0850,56,47,0,DA-0900,9,0
658597,BA-0850,42,42,0,DA-0900,0,1
658676,BA-0850,57,49,0,JE-0100,8,0
658714,BA-0850,40,31,0,DA-0900,9,0
658767,BN-0700,31,31,0,,0,0
658808,TM-3300,47,47,0,,0,0
658827,BN-0700,55,-19,0,MM-5750,74,0
658866,TM-3300,45,45,0,TG-0900,0,1
658893,BN-0700,53,45,0,MM-5750,8,0
658909,BN-0700,34,34,0,MM-5750,0,1
658917,RQ-0050,44,44,0,,0,0
658934,RQ-0050,50,50,0,,0,0
658942,DJ-2800,54,54,0,JK-1000,0,1
658949,RQ-0050,41,41,0,,0,0
658955,DJ-2800,53,38,0,JK-1000,15,0
