uid,gid,player,pat,fgs,fgm,fgl,fpts,game,seas,year,team
8142,4105,NF-0300,2,1,1,0,9,7,9,2015,NYJ
8143,4105,SJ-0300,4,0,1,1,13,7,16,2015,OAK
8144,4106,SH-0400,1,2,0,0,7,8,8,2015,SEA
8145,4106,DB-0200,0,3,0,1,14,7,5,2015,DAL
8146,4107,BM-1650,3,1,0,1,11,7,3,2015,DEN
8147,4107,MC-3000,1,0,0,1,6,7,9,2015,GB
8148,4108,GG-0100,2,1,1,1,14,7,7,2015,CAR
8149,4108,AV-0400,2,2,1,1,17,8,20,2015,IND
8150,4109,MN-0800,4,1,0,0,7,8,11,2015,CIN
8151,4109,TC-2450,1,1,0,0,4,9,2,2015,CLE
8152,4110,GG-0100,4,2,1,0,14,8,7,2015,CAR
8153,4110,MC-3000,3,0,0,0,3,8,9,2015,GB
8154,4111,SG-0800,3,2,0,0,9,8,10,2015,NE
8155,4111,DH-3970,1,1,0,0,4,7,3,2015,WAS
8156,4112,KF-0250,4,0,0,0,4,4,5,2015,NO
8157,4112,RS-3400,2,1,0,1,10,8,7,2015,TEN
8158,4113,DC-0500,4,0,1,0,8,8,8,2015,BUF
8159,4113,AF-1150,2,0,1,0,6,8,1,2015,MIA
8160,4114,BW-0350,1,1,1,0,8,8,4,2015,MIN
8161,4114,GZ-2000,0,1,1,2,17,8,4,2015,STL
8162,4115,JM-7000,2,2,1,0,12,8,1,2015,JAC
8163,4115,RQ-0050,4,0,0,0,4,1,4,2015,NYJ
8164,4116,SJ-0300,5,0,0,0,5,8,16,2015,OAK
8165,4116,CB-2275,3,3,0,0,12,5,2,2015,PIT
8166,4117,CB-0700,0,3,0,1,14,4,8,2015,TB
8167,4117,JB-7100,2,2,1,1,17,9,13,2015,NYG
8168,4118,MB-4600,1,2,1,0,11,9,14,2015,ATL
8169,4118,PD-0200,2,0,1,0,6,9,18,2015,SF
8170,4119,AV-0400,3,0,1,1,12,9,20,2015,IND
8171,4119,BM-1650,3,1,0,0,6,8,3,2015,DEN
8172,4120,DB-0200,3,0,2,0,11,8,5,2015,DAL
8173,4120,CS-4250,3,1,0,1,11,5,3,2015,PHI
8174,4121,RG-1500,2,0,0,0,2,7,11,2015,CHI
8175,4121,JL-0207,1,2,0,0,7,9,1,2015,SD
