pid,kicker,kgro,knet,ktb,kr,kry
656807,GZ-2000,73,50,0,RR-1150,23
656850,DH-3970,65,45,1,,0
656862,AF-1150,69,47,0,CG-1950,22
656875,JM-7000,65,45,1,,0
656881,AF-1150,65,45,1,,0
656890,JM-7000,73,41,0,RM-5050,32
656910,AF-1150,72,48,0,CG-1950,24
656922,JM-7000,72,47,0,RM-5050,25
656931,AF-1150,65,45,1,,0
656948,JM-7000,65,45,1,,0
656958,AF-1150,65,45,1,,0
657031,JM-7000,65,45,1,,0
657037,JT-3950,65,45,1,,0
657045,SJ-0300,65,45,1,,0
657052,SJ-0300,64,35,0,MC-0150,29
657064,JT-3950,65,45,1,,0
657083,JT-3950,65,45,1,,0
657090,SJ-0300,65,45,1,,0
657102,JT-3950,65,45,1,,0
657114,SJ-0300,65,45,1,,0
657132,SJ-0300,65,45,1,,0
657149,SJ-0300,65,45,1,,0
657167,SJ-0300,65,45,1,,0
657180,JT-3950,65,45,1,,0
657198,JT-3950,65,45,1,,0
657211,JT-3950,50,30,1,,0
657224,SJ-0300,65,45,1,,0
657227,CP-0575,65,45,1,,0
657259,DB-0200,65,45,1,,0
657310,DB-0200,66,45,0,JH-5750,21
657317,DB-0200,65,45,1,,0
657355,CP-0575,69,38,0,LD-0850,31
657381,DB-0200,65,45,1,,0
657397,CP-0575,9,9,0,,0
657400,SH-0400,65,45,1,,0
657415,MC-3000,71,45,0,TL-1025,26
657424,MC-3000,71,52,0,TL-1025,19
657434,SH-0400,65,45,1,,0
657479,MC-3000,51,40,0,TL-1025,11
657480,MC-3000,65,45,1,,0
657493,SH-0400,68,49,0,TM-3150,19
657504,SH-0400,65,45,1,,0
657513,MC-3000,65,45,1,,0
657535,MC-3000,70,47,0,TL-1025,23
657550,MC-3000,65,45,1,,0
657558,PM-0300,65,45,1,,0
657579,NF-0300,68,41,0,TV-0150,27
657629,NF-0300,70,43,0,TV-0150,27
657640,NF-0300,65,45,1,,0
657684,PM-0300,50,30,1,,0
657694,NF-0300,69,49,0,TV-0150,20
657709,NF-0300,69,45,0,TV-0150,24
657713,JB-7100,67,46,0,RR-1150,21
657720,TW-1175,50,30,0,DH-1800,20
657735,JB-7100,65,45,1,,0
657749,JB-7100,65,45,1,,0
657760,DH-3970,65,45,1,,0
657770,JB-7100,65,45,1,,0
657784,DH-3970,65,45,1,,0
657795,DH-3970,65,45,1,,0
657811,JB-7100,57,41,0,RR-1150,16
657831,JB-7100,63,43,0,RR-1150,20
657866,DH-3970,10,6,0,SV-0200,4
657871,JB-7100,66,-35,0,RR-1150,101
657873,DH-3970,21,21,0,,0
657887,MB-3000,74,54,1,,0
657892,DB-0200,74,54,1,,0
657906,DB-0200,74,54,1,,0
657920,MB-3000,73,53,1,,0
657942,DB-0200,74,54,1,,0
657957,MB-3000,74,54,1,,0
657965,DB-0200,74,54,1,,0
657972,DB-0200,68,45,0,EW-0500,23
657994,MB-3000,65,45,1,,0
658016,MB-3000,74,54,1,,0
658033,MB-3000,73,45,0,LD-0850,28
658043,PM-0300,65,45,1,,0
658068,PM-0300,65,45,1,,0
658087,PM-0300,65,45,1,,0
658098,RS-3400,65,45,1,,0
658119,RS-3400,65,45,1,,0
658124,RS-3400,65,45,1,,0
658138,RS-3400,65,45,1,,0
658142,RS-3400,65,45,1,,0
