uid,pid,ptm,pen,desc,cat,pey,act
58827,656325,SD,MI-0150,Defensive Offside,4,0,D
58828,656330,SD,ND-0600,Unsportsmanlike Conduct,6,10,A
58829,656334,CIN,JS-2050,Offensive Holding,2,10,A
58830,656339,CIN,AG-1500,Offensive Pass Interference,2,10,A
58831,656347,CIN,TK-0850,Offensive Holding,2,10,A
58832,656348,SD,JV-0425,Unnecessary Roughness,6,4,A
58833,656351,CIN,MJ-2250,False Start,1,5,A
58834,656355,SD,OF-0100,Offensive Holding,2,10,A
58835,656357,SD,JB-1400,False Start,1,5,A
58836,656358,CIN,DK-0750,Illegal Contact,5,5,A
58837,656362,SD,CW-1050,Offensive Holding,2,10,A
58838,656382,TEN,,Illegal Use of Hands,2,10,A
58839,656385,TEN,TL-0775,Illegal Use of Hands,2,0,D
58840,656400,CLE,JB-3550,Clipping,7,15,A
58841,656401,TEN,ZB-0400,Illegal Use of Hands,5,5,A
58842,656408,TEN,HD-0300,Unnecessary Roughness,6,15,A
58843,656411,TEN,CC-3200,Unnecessary Roughness,6,15,A
58844,656412,CLE,MM-4500,Offensive Holding,2,10,A
58845,656430,TEN,MM-0912,Delay of Game,3,5,A
58846,656445,TEN,MM-0912,Delay of Game,3,5,A
58847,656448,TEN,BW-2900,Player Out of Bounds on Punt,3,15,A
58848,656452,TEN,PS-0950,Illegal Block Above the Waist,7,10,A
58849,656460,CLE,KW-1550,Face Mask,6,0,D
58850,656463,CLE,JB-3550,Offensive Holding,2,10,A
58851,656506,TEN,CC-3200,False Start,1,5,A
58852,656507,CLE,DB-5200,Illegal Use of Hands,5,5,A
58853,656554,NYG,EF-0075,False Start,1,5,A
58854,656555,ATL,PA-0100,Neutral Zone,4,5,A
58855,656559,NYG,NW-0350,False Start,1,5,A
58856,656574,ATL,RS-0650,False Start,1,5,A
58857,656586,NYG,DH-1800,Illegal Motion,3,5,A
58858,656595,NYG,TM-1200,Defensive Holding,5,5,A
58859,656622,ATL,KI-0150,Offensive Holding,2,10,A
58860,656628,NYG,EF-0075,Offensive Holding,2,10,A
58861,656640,ATL,KB-1100,Illegal Use of Hands,5,0,D
58862,656663,ATL,JT-0300,Offensive Holding,2,10,A
58863,656689,NYG,EM-0200,Delay of Game,3,5,A
58864,656696,NYG,JC-1800,Defensive Holding,5,0,D
58865,656702,ATL,RA-0650,Defensive Pass Interference,5,30,A
58866,656705,NYG,GS-0400,Illegal Touch Pass,3,0,D
58867,656737,WAS,JR-1150,Offensive Holding,2,10,A
58868,656745,WAS,RK-0500,Defensive Offside,4,5,A
58869,656752,STL,TM-0650,Offensive Holding,2,10,A
58870,656762,STL,AD-1475,Neutral Zone,4,5,A
58871,656763,WAS,JR-1150,Offensive Holding,2,10,A
58872,656788,WAS,SL-0300,False Start,1,5,A
58873,656793,STL,LK-0200,False Start,1,5,A
58874,656805,STL,KB-1900,Taunting,6,15,A
58875,656812,WAS,BB-2725,Illegal Use of Hands,5,5,A
58876,656813,STL,JC-4300,Illegal Use of Hands,2,15,A
58877,656815,STL,RS-0100,False Start,1,5,A
58878,656818,STL,BC-3070,Illegal Substitution,3,0,O
58879,656818,WAS,DA-0950,Illegal Block Above the Waist,7,0,O
58880,656819,STL,IP-0050,Player Out of Bounds on Punt,3,5,A
58881,656820,WAS,TP-1550,Offensive Holding,2,8,A
58882,656827,WAS,SL-0300,Offensive Holding,2,10,A
58883,656838,STL,EW-0550,Neutral Zone,4,5,A
58884,656843,STL,AO-0250,Face Mask,6,15,A
58885,656843,STL,RQ-0200,Face Mask,6,0,D
58886,656867,MIA,OV-0200,Defensive Offside,4,5,A
58887,656885,MIA,TF-0250,Illegal Use of Hands,5,0,D
58888,656898,JAC,SW-1900,Offensive Holding,2,0,D
58889,656910,JAC,JL-2850,Offensive Holding,2,8,A
58890,656916,MIA,JT-0850,Illegal Contact,5,5,A
58891,656917,JAC,SW-1900,Offensive Holding,2,10,A
58892,656926,JAC,DS-2200,Face Mask,6,15,A
58893,656939,MIA,JJ-0650,False Start,1,5,A
58894,656941,JAC,CS-2350,Defensive Offside,4,5,A
58895,656946,MIA,BM-0800,Defensive Pass Interference,5,17,A
58896,656951,MIA,JJ-0650,Offensive Holding,2,10,A
58897,656959,JAC,AR-1250,Offensive Pass Interference,2,10,A
58898,656970,JAC,TA-0600,Roughing the Passer,6,15,A
58899,656977,JAC,JP-0900,Illegal Use of Hands,2,10,A
58900,656985,MIA,JJ-0650,Offensive Holding,2,10,A
58901,656989,MIA,MD-0125,Delay of Game,3,5,A
58902,656997,MIA,RT-0150,Delay of Game,3,5,A
58903,657004,MIA,ZB-0200,Offensive Holding,2,10,A
58904,657006,MIA,DT-0550,Offensive Holding,2,10,A
58905,657009,MIA,DW-3125,Offensive Holding,2,10,A
58906,657012,MIA,WA-0050,Illegal Use of Hands,5,5,A
58907,657020,JAC,LR-0350,Offensive Holding,2,0,D
58908,657020,JAC,DS-2200,Offensive Holding,2,10,A
58909,657024,JAC,ML-0650,Offensive Pass Interference,2,10,A
58910,657026,MIA,OV-0200,Unnecessary Roughness,6,15,A
58911,657047,BAL,KL-0800,Defensive Pass Interference,5,22,A
58912,657062,OAK,,12 On-field,3,4,A
58913,657065,OAK,JW-1400,False Start,1,5,A
58914,657068,OAK,MC-2900,Taunting,6,15,A
58915,657073,OAK,AH-3700,Offensive Holding,2,0,D
58916,657076,OAK,DA-2050,Defensive Offside,4,5,A
58917,657087,BAL,KA-1000,Defensive Holding,5,0,D
58918,657096,OAK,,12 On-field,3,5,A
58919,657103,BAL,JS-4300,Unnecessary Roughness,6,15,A
58920,657109,OAK,DP-1100,False Start,1,5,A
58921,657115,BAL,CG-1030,False Start,1,5,A
58922,657116,BAL,RW-0150,False Start,1,5,A
58923,657120,OAK,CL-1300,Illegal Contact,5,5,A
58924,657123,BAL,KO-0750,Offensive Holding,2,10,A
58925,657126,OAK,MS-2400,Defensive Holding,5,5,A
58926,657128,OAK,DA-2050,Encroachment,4,5,A
58927,657130,OAK,TC-0385,Defensive Holding,5,4,A
58928,657136,OAK,BH-1110,Illegal Block Above the Waist,7,10,A
58929,657138,BAL,CU-0050,Defensive Pass Interference,5,17,A
58930,657138,BAL,ED-1000,Defensive Offside,4,0,D
58931,657144,OAK,CW-0225,False Start,1,5,A
58932,657156,BAL,JS-4300,Defensive Holding,5,5,A
58933,657165,BAL,LW-0700,Defensive Holding,5,0,D
58934,657172,OAK,KM-1150,Illegal Contact,5,5,A
58935,657174,BAL,KO-0750,Offensive Holding,2,10,A
58936,657188,OAK,LA-0700,Defensive Pass Interference,5,8,A
58937,657210,OAK,DW-3200,Unnecessary Roughness,6,15,A
58938,657216,BAL,TJ-1025,Roughing the Passer,6,15,A
58939,657217,OAK,AH-3700,False Start,1,5,A
58940,657221,BAL,WH-0750,Defensive Holding,5,5,A
58941,657229,DAL,MB-2200,False Start,1,5,A
58942,657242,DAL,MC-1350,Defensive Pass Interference,5,11,A
58943,657263,DAL,BC-0500,Offensive Holding,2,10,A
58944,657270,DAL,TF-1350,Delay of Game,3,5,A
58945,657277,DAL,MB-2200,False Start,1,5,A
58946,657280,DAL,TS-2700,Illegal Formation,3,5,A
58947,657285,PHI,ZE-0100,Offensive Pass Interference,2,10,A
58948,657287,DAL,DW-4025,Illegal Block Above the Waist,7,0,D
58949,657287,DAL,JW-3050,Offensive Holding,2,10,A
58950,657291,DAL,ZM-0050,Ineligible Downfield Pass,3,5,A
58951,657294,PHI,VC-0400,Neutral Zone,4,5,A
58952,657295,PHI,VC-0400,Unnecessary Roughness,6,15,A
58953,657298,PHI,DR-3700,Defensive Holding,5,5,A
58954,657300,DAL,JW-6000,False Start,1,5,A
58955,657301,PHI,DR-3700,Illegal Use of Hands,5,5,A
58956,657306,DAL,DF-1800,False Start,1,5,A
58957,657307,PHI,BM-0600,Illegal Contact,5,5,A
58958,657323,DAL,ZM-0050,Offensive Holding,2,10,A
58959,657331,DAL,DL-0450,Defensive Holding,5,5,A
58960,657333,DAL,TP-0650,Defensive Pass Interference,5,16,A
58961,657341,DAL,TS-2700,False Start,1,5,A
58962,657350,DAL,DB-0200,Unsportsmanlike Conduct,6,15,A
58963,657364,DAL,GS-1400,Offensive Holding,2,10,A
58964,657367,PHI,,Illegal Motion,3,0,D
58965,657368,DAL,MB-2200,Offensive Holding,2,10,A
58966,657371,DAL,ZM-0050,Offensive Holding,2,0,D
58967,657376,DAL,DF-1800,False Start,1,5,A
58968,657382,DAL,MC-1350,Illegal Use of Hands,5,0,O
58969,657382,PHI,JP-2400,Illegal Use of Hands,2,0,O
58970,657392,PHI,AB-0500,Offensive Holding,2,10,A
58971,657393,PHI,SB-1100,Delay of Game,3,5,A
58972,657403,SEA,,12 On-field,3,5,A
58973,657404,SEA,MB-1900,Defensive Offside,4,0,D
58974,657407,GB,JS-3500,Illegal Use of Hands,2,10,A
58975,657411,GB,AR-1300,Delay of Game,3,5,A
58976,657413,SEA,MB-1900,Defensive Offside,4,0,D
58977,657415,SEA,KP-0650,Offensive Holding,2,10,A
58978,657420,GB,CL-0975,Offensive Holding,2,0,D
58979,657440,GB,JJ-0775,Illegal Use of Hands,2,5,A
58980,657444,SEA,RO-0400,False Start,1,5,A
58981,657456,SEA,JS-7450,Unnecessary Roughness,6,15,A
58982,657473,SEA,RS-1000,Defensive Pass Interference,5,52,A
58983,657473,SEA,MB-1900,Defensive Offside,4,0,D
58984,657474,SEA,RS-1000,Defensive Holding,5,0,D
58985,657490,GB,MN-0300,Defensive Offside,4,5,A
58986,657517,GB,MP-0875,Defensive Offside,4,5,A
58987,657517,GB,MD-0060,Unsportsmanlike Conduct,6,0,D
58988,657523,GB,DB-0350,False Start,1,5,A
58989,657531,SEA,CW-2300,Illegal Contact,5,5,A
58990,657534,SEA,BW-0150,Defensive Pass Interference,5,0,D
58991,657541,SEA,MB-1900,Unnecessary Roughness,6,0,O
58992,657541,GB,TL-0300,Unnecessary Roughness,6,0,O
58993,657541,SEA,KW-2500,Disqualification,6,0,O
58994,657560,IND,DL-2300,Unnecessary Roughness,6,15,A
58995,657560,IND,EW-0100,Illegal Use of Hands,5,0,D
58996,657561,NYJ,ED-0200,Offensive Pass Interference,2,10,A
58997,657567,IND,DA-0850,Offensive Holding,2,7,A
58998,657569,NYJ,BS-2300,Unnecessary Roughness,6,15,A
58999,657569,NYJ,LW-1350,Defensive Offside,4,0,D
59000,657570,IND,AC-1200,Offensive Holding,2,10,A
59001,657575,IND,VD-0200,Defensive Holding,5,4,A
59002,657599,NYJ,KD-0400,False Start,1,5,A
59003,657605,IND,AL-1100,Intentional Grounding,3,5,A
59004,657612,IND,VD-0200,Defensive Holding,5,5,A
59005,657623,IND,TC-2000,Neutral Zone,4,5,A
59006,657643,NYJ,AC-2400,Defensive Holding,5,0,D
