uid,pid,qb,sk,value,ydsl
19998,660401,JF-1900,ST-1150,1,-5
19999,660434,JF-1900,LT-0400,1,0
20000,660441,MV-0300,DS-2700,1,-9
20001,660457,JF-1900,SS-2450,1,-6
20002,660468,JF-1900,CH-3100,1,0
20003,660487,MV-0300,ZS-0075,1,-6
20004,660488,MV-0300,ZS-0075,1,-7
20005,660496,MV-0300,ED-1000,1,-6
20006,660532,JF-1900,JH-2100,1,-10
20007,660599,RT-0150,MW-1800,1,-10
20008,660609,RT-0150,DH-1400,1,-10
20009,660694,RT-0150,MW-1800,1,-11
20010,660789,BB-2425,KL-0200,1,-9
20011,660850,MH-1600,AC-2250,1,-2
20012,660856,MH-1600,RD-0650,1,-10
20013,660909,MH-1600,RD-0650,0.5,-4
20014,660909,MH-1600,TS-2050,0.5,-4
20015,661053,EM-0200,CG-1700,1,-1
20016,661116,TT-0500,CJ-0900,1,-2
20017,661128,TT-0500,NW-0350,1,-14
20018,661203,CN-0500,GM-0500,1,-9
20019,661222,JW-5650,RD-0850,1,-8
20020,661244,JW-5650,RD-0850,1,-9
20021,661257,CN-0500,DL-0400,1,-4
20022,661321,SB-1100,CB-0200,1,-8
20023,661346,SB-1100,CB-0200,1,-7
20024,661367,KC-2350,BG-1200,1,0
20025,661374,SB-1100,PS-0550,1,-9
20026,661470,SB-1100,TM-3450,1,-7
20027,661471,SB-1100,RK-0500,1,-6
20028,661509,JC-6200,JT-3800,1,-2
20029,661548,DC-0725,EG-0350,1,-15
20030,661552,JC-6200,AS-1500,1,-5
20031,661556,DC-0725,JJ-1600,1,-8
20032,661626,JC-6200,KM-0050,1,-1
20033,661667,MR-2500,JC-5630,1,-5
20034,661687,MR-2500,JW-1100,0.5,-8
20035,661687,MR-2500,JS-3250,0.5,-8
20036,661817,BH-1900,RH-0150,1,-8
20037,661835,AS-1600,MJ-1800,1,-9
20038,661857,AS-1600,DP-0900,1,-2
20039,661873,AS-1600,DP-0900,1,-9
20040,661900,AS-1600,CD-2200,1,-8
20041,661933,AS-1600,GA-0400,1,-10
20042,661996,JM-2900,MI-0150,0.5,-8
20043,661996,JM-2900,EW-0400,0.5,-8
20044,661998,PR-0300,CK-0850,1,-7
20045,662042,JM-2900,MI-0150,1,-3
20046,662072,JM-2900,JA-2825,1,-1
20047,662121,PR-0300,XC-0100,1,-4
20048,662129,JM-2900,JA-2825,1,-12
20049,662218,CK-0100,NP-0130,1,-10
20050,662219,CK-0100,JE-0350,1,-7
20051,662236,AR-1300,AB-3100,1,-9
20052,662261,CK-0100,CM-0900,1,-8
20053,662276,CK-0100,NP-0130,1,-2
20054,662284,AR-1300,AL-1200,1,-8
20055,662287,CK-0100,JP-2000,1,-6
20056,662291,AR-1300,AL-1200,1,-7
20057,662299,CK-0100,MN-0300,1,-8
20058,662321,CP-0500,LJ-1800,1,-1
20059,662324,CP-0500,CL-1400,1,-7
20060,662328,NF-0250,CC-0200,0.5,-7
20061,662328,NF-0250,MG-0925,0.5,-7
20062,662424,CP-0500,TM-1750,1,-6
20063,662454,CP-0500,JL-0600,1,-4
20064,662476,TB-2650,TW-0600,1,-13
20065,662478,TB-2650,DW-1100,1,-13
20066,662500,TB-2650,SR-0250,1,-8
20067,662507,PM-0200,EK-0250,1,-6
20068,662529,PM-0200,BR-1000,1,-7
20069,662600,TB-2650,SW-1750,0.5,-8
20070,662600,TB-2650,MJ-0030,0.5,-8
20071,662615,TB-2650,CN-0450,1,-1
20072,662631,TB-2650,VM-0300,1,-9
20073,662635,TB-2650,TW-0600,1,-5
20074,662678,DB-3800,AH-3350,0.5,-9
20075,662678,DB-3800,DW-4025,0.5,-9
20076,662687,DB-3800,DL-0450,1,-9
20077,662704,BW-0850,SA-1150,1,-8
20078,662728,BW-0850,HK-0100,1,-11
20079,662743,DB-3800,JC-5560,1,-6
20080,662753,BW-0850,TD-0850,1,-7
20081,662838,RW-3850,TL-0850,1,-9
20082,662863,RW-3850,EA-0550,1,-9
20083,662866,RW-3850,JJ-4300,0.5,-11
20084,662866,RW-3850,DT-0150,0.5,-11
20085,662902,RW-3850,DT-0100,1,-5
20086,662915,RW-3850,EA-0550,1,-9
20087,662926,RW-3850,JI-0200,1,-9
20088,662954,RM-0300,EW-0100,1,0
20089,663133,JC-6200,JH-5550,0.5,-10
20090,663133,JC-6200,AB-0100,0.5,-10
20091,663180,AS-1600,PM-0500,1,-2
20092,663193,AS-1600,WY-0300,1,-8
20093,663235,JC-6200,AB-0100,1,-3
20094,663238,AS-1600,LH-1900,1,-1
20095,663323,AD-0100,CA-1300,1,-7
20096,663331,RW-3850,AJ-1200,1,-1
20097,663382,AD-0100,DS-1730,1,-5
20098,663390,RW-3850,CD-2200,1,-7
20099,663394,AD-0100,MB-1900,1,-6
20100,663415,AD-0100,AR-2000,1,-3
20101,663428,RW-3850,GA-0400,1,0
20102,663456,RW-3850,CD-2200,0.5,-8
20103,663456,RW-3850,EL-0060,0.5,-8
20104,663478,KC-2350,NS-0750,1,0
20105,663484,MR-2500,RK-0500,1,-9
20106,663528,MR-2500,CB-0200,1,0
20107,663536,MR-2500,RK-0500,1,-3
20108,663644,BB-2425,HJ-0300,1,-6
20109,663671,JW-5650,RM-4200,1,-9
20110,663679,BB-2425,HJ-0300,1,-9
20111,663700,BB-2425,KA-0625,0.5,-6
20112,663700,BB-2425,AV-0300,0.5,-6
20113,663729,JW-5650,AC-2250,1,-14
20114,663754,BB-2425,LD-0150,1,-4
20115,663784,BB-2425,GM-0500,0.5,-5
20116,663784,BB-2425,KA-0625,0.5,-5
20117,663786,BB-2425,GM-0500,1,-3
20118,663804,DB-3800,BL-1350,1,-7
20119,663866,DB-3800,FC-0400,1,-10
20120,663875,DB-3800,FC-0400,1,-8
20121,663908,DB-3800,FC-0400,1,-7
20122,663971,DB-3800,BB-2600,1,-11
20123,664006,JM-2900,LG-1000,1,-5
20124,664043,JM-2900,LG-1000,1,-10
20125,664065,JM-2900,BW-2020,1,-9
20126,664102,JF-1900,AB-3850,1,-14
20127,664118,JM-2900,TJ-1025,1,-11
20128,664195,NF-0250,NP-0130,0.5,-7
20129,664195,NF-0250,CM-0900,0.5,-7
