pid,qba,wo,bf,li,brec,incd,hur,mbt,yac
659569,,4,1,0,0,DRP,0,0,0
659570,,4,1,0,1,NA,0,2,0
659571,,4,1,0,0,UT,0,0,0
659572,,4,1,0,0,DRP,0,0,0
659573,,0,1,4,4,NA,0,0,0
659574,,0,1,4,4,NA,0,0,0
659576,PA,2,1,2,1,NA,0,0,1
659577,,3,1,1,0,NA,0,0,9
659578,,2,1,2,4,NA,0,0,0
659579,,3,1,1,4,NA,0,0,0
659580,,3,1,1,1,OT,1,0,0
659582,,2,2,1,4,NA,0,0,0
659583,,2,1,2,4,NA,0,0,0
659584,,4,1,0,0,DEF,0,0,0
659587,PA,1,2,2,1,NA,0,0,0
659588,,2,1,2,1,NA,0,0,15
659589,,2,1,2,4,NA,0,0,0
659590,PA,2,2,1,2,DEF,0,0,0
659593,PI,2,2,1,4,NA,0,1,0
659594,RO,2,2,1,5,NA,0,0,0
659595,,1,2,2,4,NA,0,0,0
659596,,1,1,3,4,NA,0,0,0
659598,RO,2,2,1,4,NA,0,1,0
659601,PA,2,1,2,1,NA,0,0,3
659602,,3,1,1,1,NA,0,0,2
659604,,4,0,1,0,DRP,1,0,0
659605,,4,0,1,0,NA,0,0,5
659606,,1,1,3,4,NA,0,0,10
659607,,1,1,3,4,NA,0,0,0
659608,,2,1,2,1,NA,0,0,2
659609,,4,1,0,1,OT,0,0,0
659611,,2,1,2,4,NA,0,0,0
659614,,2,1,2,4,NA,0,0,0
659617,RO,2,2,1,4,NA,0,1,0
659618,SC,2,1,2,1,NA,0,1,0
659619,,3,1,1,4,NA,0,0,0
659620,,1,2,2,4,NA,0,0,0
659623,,2,1,2,4,NA,0,0,0
659624,,1,1,3,4,NA,0,1,0
659625,,2,1,2,4,NA,0,3,0
659626,,2,1,2,4,NA,0,0,0
659627,,3,1,1,0,DRP,0,0,0
659628,,3,1,1,0,NA,0,0,8
659629,PA,0,2,3,2,DC,0,0,0
659630,,0,1,4,3,NA,0,0,0
