uid,pid,tck,value
431606,653039,TC-2000,0.5
431607,653040,EW-0100,0.5
431608,653040,DB-6100,0.5
431609,653041,CG-0750,1
431610,653043,BR-0150,1
431611,653048,DP-0375,0.5
431612,653048,JF-3060,0.5
431613,653049,MA-0200,1
431614,653051,EW-0100,0.5
431615,653051,DJ-0500,0.5
431616,653053,CG-0750,1
431617,653055,RD-0050,1
431618,653058,SG-0650,1
431619,653060,HA-0400,0.5
431620,653060,ZK-0300,0.5
431621,653061,EW-0100,0.5
431622,653061,MA-0200,0.5
431623,653062,DL-2300,1
431624,653063,KL-0200,1
431625,653067,RD-0050,1
431626,653069,RD-0050,1
431627,653070,RD-0050,0.5
431628,653070,AW-1200,0.5
431629,653073,NB-0500,1
431630,653075,DB-6100,1
431631,653076,DB-6100,1
431632,653077,DJ-0500,1
431633,653078,EW-0100,0.5
431634,653078,DB-6100,0.5
431635,653080,JF-3060,1
431636,653083,PB-0750,1
431637,653085,AW-1200,1
431638,653086,NB-0500,0.5
431639,653086,AW-1200,0.5
431640,653089,BR-0150,1
431641,653090,PB-0750,1
431642,653091,CB-4770,1
431643,653096,EW-0100,0.5
431644,653096,DB-6100,0.5
431645,653097,HA-0400,1
431646,653098,DL-2300,1
431647,653100,HA-0400,0.5
431648,653100,DB-6100,0.5
431649,653106,DL-2300,1
431650,653107,HA-0400,1
431651,653108,JB-6500,1
431652,653109,DJ-0500,1
431653,653110,DB-6100,1
431654,653111,HA-0400,1
431655,653113,JF-3060,0.5
431656,653113,DL-2300,0.5
431657,653114,JF-3060,1
431658,653115,DL-2300,1
431659,653119,CB-4770,1
431660,653121,AW-1200,0.5
431661,653121,NR-0350,0.5
431662,653122,SG-0650,1
431663,653123,SC-0550,0.5
431664,653123,PB-0750,0.5
431665,653124,SC-0550,0.5
431666,653124,PB-0750,0.5
431667,653125,NB-0500,0.5
431668,653125,NR-0350,0.5
431669,653126,NR-0350,1
431670,653127,NR-0350,1
431671,653128,SG-0650,1
431672,653129,SG-0650,1
431673,653130,JH-5900,0.5
431674,653130,BR-0150,0.5
431675,653131,NR-0350,1
431676,653132,SG-0650,1
431677,653135,CB-4770,0.5
431678,653135,PB-0750,0.5
431679,653140,DJ-0500,1
431680,653142,JF-3060,1
431681,653143,KL-0200,1
431682,653145,KW-1600,0.5
431683,653145,NB-0500,0.5
431684,653146,NB-0500,0.5
431685,653146,RD-0050,0.5
431686,653151,DL-2300,0.5
431687,653151,DB-6100,0.5
431688,653155,HA-0400,0.5
431689,653155,DJ-0500,0.5
431690,653156,HA-0400,1
431691,653162,BR-0150,1
431692,653163,SG-0650,1
431693,653164,JH-5900,1
431694,653165,JH-5900,1
431695,653171,DJ-0500,0.5
431696,653171,MA-0200,0.5
431697,653172,ZK-0300,0.5
431698,653172,DJ-0500,0.5
431699,653173,JB-6500,1
431700,653174,ZK-0300,0.5
431701,653174,DJ-0500,0.5
431702,653175,HA-0400,0.5
431703,653175,EW-0100,0.5
431704,653176,DJ-0500,0.5
431705,653176,JF-3060,0.5
431706,653178,NB-0500,1
431707,653179,NB-0500,0.5
431708,653179,PB-0750,0.5
431709,653188,KS-0800,1
431710,653189,BG-2100,1
431711,653191,KM-2000,1
431712,653192,BM-0800,0.5
431713,653192,JT-0850,0.5
431714,653194,KM-2000,0.5
431715,653194,RJ-2000,0.5
431716,653195,KS-0800,0.5
431717,653195,KM-2000,0.5
431718,653196,NS-0800,0.5
431719,653196,RJ-2000,0.5
431720,653197,JJ-1620,1
431721,653199,KM-2000,1
431722,653200,KM-2000,1
431723,653203,KR-0950,1
431724,653204,KR-0950,0.5
431725,653204,DI-0050,0.5
431726,653205,JH-2800,0.5
431727,653205,DI-0050,0.5
431728,653208,KS-0800,1
431729,653209,JJ-1620,0.5
431730,653209,JT-0850,0.5
431731,653211,CM-3300,0.5
431732,653211,KM-2000,0.5
431733,653213,WA-0050,1
431734,653214,EM-1200,0.5
431735,653214,TF-0250,0.5
431736,653215,JJ-1620,1
431737,653216,JJ-1620,0.5
431738,653216,BM-0800,0.5
431739,653219,KR-0950,0.5
431740,653219,DG-1300,0.5
431741,653220,KR-0950,1
431742,653222,TM-3450,0.5
431743,653222,DI-0050,0.5
431744,653225,TF-0250,1
431745,653226,TF-0250,1
431746,653230,TR-0620,1
431747,653231,DG-1300,1
431748,653232,RK-0500,1
431749,653233,RJ-2000,1
431750,653234,JJ-1620,1
431751,653235,KM-2000,1
431752,653236,BM-0800,1
431753,653237,ZV-0100,0.5
431754,653237,RJ-2000,0.5
431755,653238,EM-1200,0.5
431756,653238,KS-0800,0.5
431757,653239,RJ-2000,0.5
431758,653239,BM-0800,0.5
431759,653240,JJ-1620,0.5
431760,653240,BM-0800,0.5
431761,653241,RJ-2000,1
431762,653242,RJ-2000,0.5
431763,653242,JT-0850,0.5
431764,653243,JT-0850,1
431765,653244,NS-0800,1
431766,653245,JJ-1620,1
431767,653246,TF-0250,1
431768,653247,RJ-2000,1
431769,653252,TR-0620,1
431770,653256,DA-0950,1
431771,653258,DA-0950,1
431772,653265,DH-0700,1
431773,653266,KR-0950,1
431774,653268,TR-0620,1
431775,653269,JR-3100,1
431776,653272,EM-1200,1
431777,653273,KS-0800,1
431778,653274,JT-0850,1
431779,653276,PR-0200,1
431780,653277,DG-1300,1
431781,653278,TK-0800,1
431782,653280,DG-1300,1
431783,653284,JT-0850,1
431784,653285,RJ-2000,1
431785,653287,JJ-1620,1
431786,653288,KM-2000,1
431787,653289,KM-2000,1
431788,653293,JT-0850,1
431789,653295,DH-0700,0.5
431790,653295,JR-3100,0.5
431791,653296,TR-0620,1
431792,653297,DH-0700,1
431793,653298,DH-0700,1
431794,653300,JR-3100,0.5
431795,653300,TR-0620,0.5
431796,653302,DH-0700,0.5
431797,653302,CC-5300,0.5
431798,653303,PR-0200,0.5
431799,653303,DH-0700,0.5
431800,653305,TM-3450,0.5
431801,653305,JR-3100,0.5
431802,653310,DS-1760,0.5
431803,653310,BG-2100,0.5
431804,653311,EM-1200,1
431805,653315,TF-0250,0.5
431806,653315,JJ-1620,0.5
431807,653316,RJ-2000,1
431808,653317,KM-2000,1
431809,653318,RJ-2000,0.5
431810,653318,BM-0800,0.5
431811,653322,DG-1300,1
431812,653323,CB-0200,0.5
431813,653323,PR-0200,0.5
431814,653324,DH-0700,1
431815,653325,JH-2800,0.5
431816,653325,TR-0620,0.5
431817,653330,KM-2000,0.5
431818,653330,WA-0050,0.5
431819,653331,JJ-1620,0.5
431820,653331,JT-0850,0.5
431821,653332,JT-0850,1
431822,653333,RJ-2000,1
431823,653334,TF-0250,0.5
431824,653334,JJ-1620,0.5
431825,653335,MT-0850,1
431826,653338,TR-0620,1
431827,653339,DH-0700,1
431828,653340,CB-0200,0.5
431829,653340,TM-3450,0.5
431830,653341,JH-2800,1
431831,653342,DG-1300,0.5
431832,653342,TR-0620,0.5
431833,653345,TD-0700,1
431834,653346,TD-0700,1
431835,653350,PP-0800,1
431836,653351,PP-0800,1
431837,653352,TS-2050,1
431838,653353,SB-1600,1
431839,653354,RM-4200,1
431840,653355,PP-0800,1
431841,653358,SB-1600,1
431842,653359,CC-2600,1
431843,653366,CT-1500,1
431844,653367,KS-0850,1
431845,653369,PP-0800,1
431846,653374,BB-1750,0.5
431847,653374,JN-1750,0.5
431848,653375,LK-0600,1
431849,653376,KC-1800,1
431850,653377,LK-0600,1
431851,653378,CT-1500,1
431852,653379,RH-0700,1
431853,653381,BB-1750,1
431854,653385,SB-1600,1
431855,653386,JO-0300,1
431856,653387,RM-4200,1
431857,653389,LK-0600,1
431858,653391,BB-1750,1
431859,653392,CT-1500,1
431860,653393,CT-1500,1
431861,653394,LK-0600,1
431862,653395,KL-1400,1
431863,653396,TD-0700,1
431864,653398,JN-1750,1
431865,653399,DS-2200,1
431866,653400,AC-2250,1
431867,653402,KS-0850,1
431868,653406,DS-2200,1
431869,653410,TS-2050,0.5
431870,653410,JC-6400,0.5
431871,653411,JC-6400,1
431872,653412,PP-0800,1
431873,653413,DG-2450,1
431874,653414,TA-0600,1
431875,653415,PP-0800,0.5
431876,653415,AC-2250,0.5
431877,653416,RD-0650,1
431878,653417,DS-2200,1
431879,653421,LK-0600,1
431880,653422,BB-1750,1
431881,653423,LK-0600,1
431882,653424,AK-0650,1
431883,653425,TD-0700,1
431884,653426,TD-0700,1
431885,653434,PP-0800,1
431886,653436,DH-4000,1
431887,653437,DS-2200,1
431888,653438,TS-2050,1
431889,653441,AK-0650,1
431890,653442,AK-0650,1
431891,653443,JN-1750,1
431892,653448,AK-0650,1
431893,653449,JN-1750,1
431894,653450,KC-1800,1
431895,653451,AK-0650,1
431896,653454,TA-0600,1
431897,653456,TS-2050,1
431898,653457,CS-2350,1
431899,653459,MB-2050,0.5
431900,653459,TS-2050,0.5
431901,653460,TS-2050,1
431902,653463,CJ-1300,1
431903,653466,DS-2200,1
431904,653467,DM-1450,1
431905,653470,JN-1750,1
431906,653471,WH-0850,1
431907,653473,KC-1800,1
431908,653474,BB-1750,1
431909,653475,TD-0700,1
431910,653479,JC-6400,1
431911,653480,DH-4000,1
431912,653481,CS-2350,1
431913,653483,JO-0300,1
431914,653484,JC-6400,1
431915,653485,DG-2450,1
431916,653486,SB-1600,1
431917,653487,PP-0800,1
431918,653488,TS-2050,1
431919,653489,PP-0800,1
431920,653490,CS-2350,1
431921,653491,TS-2050,1
431922,653495,JO-0300,1
431923,653496,TS-2050,1
431924,653497,CS-2350,1
431925,653502,AK-0650,1
431926,653506,BB-1750,1
431927,653509,CL-1400,1
431928,653510,TM-1750,1
431929,653511,CL-1400,0.5
431930,653511,MB-3650,0.5
431931,653512,AO-0250,1
431932,653513,JL-0600,1
431933,653514,AO-0250,1
431934,653515,MB-0650,1
431935,653516,RQ-0200,0.5
431936,653516,TJ-2250,0.5
431937,653517,AD-1475,1
431938,653519,WH-0300,1
431939,653521,AO-0250,0.5
431940,653521,MB-0650,0.5
431941,653523,BI-0150,1
431942,653524,MB-1900,1
431943,653526,BW-0150,1
431944,653530,BW-0150,1
431945,653531,KW-2500,1
431946,653533,KW-2500,0.5
431947,653533,ET-0200,0.5
431948,653535,CM-0250,0.5
431949,653535,ET-0200,0.5
431950,653536,CM-0250,1
431951,653541,AD-1475,1
431952,653542,MB-3650,0.5
431953,653542,RM-3050,0.5
431954,653544,NF-0100,0.5
431955,653544,MB-0650,0.5
431956,653546,TJ-2250,1
431957,653549,KW-2500,1
431958,653550,AR-2000,0.5
431959,653550,BW-0150,0.5
431960,653551,BW-0150,1
431961,653554,ET-0200,1
431962,653557,MB-3650,0.5
431963,653557,TM-1750,0.5
431964,653558,TJ-2250,1
431965,653559,LJ-1800,1
431966,653560,AA-1900,1
431967,653561,AD-1475,0.5
431968,653561,AO-0250,0.5
431969,653562,JL-0600,0.5
431970,653562,JJ-1550,0.5
431971,653566,AR-2000,1
431972,653567,ET-0200,1
431973,653570,JJ-1550,1
431974,653571,JJ-1550,1
431975,653572,AO-0250,1
431976,653573,MB-0650,1
431977,653575,JL-0600,1
431978,653576,LJ-1800,1
431979,653577,AA-1900,1
431980,653582,ET-0200,1
431981,653583,CW-2300,1
431982,653585,AO-0250,1
431983,653586,MB-3650,0.5
431984,653586,RQ-0200,0.5
431985,653587,JL-0600,0.5
431986,653587,RM-3050,0.5
431987,653588,RM-3050,1
431988,653589,WH-0300,0.5
431989,653589,ES-0800,0.5
431990,653590,TM-1750,1
431991,653593,CW-2300,1
431992,653594,AR-2000,1
431993,653595,BI-0150,1
431994,653596,BI-0150,0.5
431995,653596,DB-0250,0.5
431996,653597,ET-0200,1
431997,653603,CL-1400,0.5
431998,653603,AD-1475,0.5
431999,653608,JL-0600,0.5
432000,653608,MB-0650,0.5
432001,653609,JL-0600,1
432002,653612,BW-0150,1
432003,653613,MB-1900,1
432004,653616,JJ-1550,1
432005,653618,LJ-1800,1
432006,653619,TM-1750,0.5
432007,653619,RM-3050,0.5
432008,653620,MB-3650,1
432009,653621,AO-0250,1
432010,653622,MR-1250,1
432011,653624,LJ-1800,1
432012,653630,RS-1000,1
432013,653631,KW-2500,1
432014,653632,CA-1300,1
432015,653633,DB-0250,1
432016,653634,ET-0200,1
432017,653635,JJ-1550,1
432018,653636,AD-1475,1
432019,653637,RQ-0200,1
432020,653638,RM-3050,1
432021,653639,TM-1750,1
432022,653640,MR-1250,1
432023,653641,MR-1250,1
432024,653642,WH-0300,1
432025,653649,DB-0250,1
432026,653651,JH-4050,1
432027,653652,BM-1800,1
432028,653653,MB-1900,1
432029,653654,RS-1000,1
432030,653658,ET-0200,1
432031,653659,DB-0250,1
432032,653664,LJ-1800,1
432033,653665,MR-1250,1
432034,653666,MR-1250,1
432035,653670,BI-0150,0.5
432036,653670,BW-0150,0.5
432037,653671,RS-1000,0.5
432038,653671,ET-0200,0.5
432039,653672,BW-0150,1
432040,653673,CA-1300,1
432041,653677,WH-0300,1
432042,653678,JJ-1550,1
432043,653679,JL-0600,1
432044,653680,RM-3050,1
432045,653681,LJ-1800,1
432046,653682,AD-1475,0.5
432047,653682,MB-3650,0.5
432048,653683,AD-1475,0.5
432049,653683,MB-3650,0.5
432050,653685,RB-4800,1
432051,653686,KV-0050,1
432052,653687,DB-3750,1
432053,653689,RB-4800,1
432054,653690,HK-0100,1
432055,653691,DS-5137,1
432056,653692,SA-1150,1
432057,653697,KM-1950,0.5
432058,653697,TJ-0950,0.5
432059,653698,TM-0850,1
432060,653699,DB-5450,1
432061,653700,TM-0850,1
