uid,gid,player,pa,pc,py,ints,ra,sra,ry,trg,rec,recy,fuml,peny
41584,4098,TG-0025,0,0,0,0,0,0,0,1,0,0,0,0
41585,4098,JG-3700,0,0,0,0,0,0,0,1,0,0,0,0
41586,4098,LF-0200,0,0,0,0,0,0,0,1,1,6,0,0
41587,4098,MF-0950,0,0,0,0,0,0,0,1,0,0,0,0
41588,4099,NF-0250,2,1,-2,0,0,0,0,0,0,0,0,0
41589,4099,KB-1900,0,0,0,0,0,0,0,1,0,0,0,0
41590,4099,CK-0100,3,2,2,0,0,0,0,0,0,0,0,0
41591,4099,VD-0100,0,0,0,0,0,0,0,2,2,2,0,0
41592,4099,BM-2600,0,0,0,0,0,0,0,1,0,0,0,0
41593,4099,TG-1950,0,0,0,0,0,0,0,1,1,-2,0,0
41594,4099,TA-1050,0,0,0,0,1,1,2,0,0,0,0,0
41595,4100,EM-0200,9,7,48,0,0,0,0,0,0,0,0,0
41596,4100,RR-0130,0,0,0,0,0,0,0,1,1,7,0,0
41597,4100,AW-1350,0,0,0,0,2,0,-1,0,0,0,0,0
41598,4100,OB-0075,0,0,0,0,0,0,0,3,2,3,0,0
41599,4100,OD-0200,0,0,0,0,2,0,0,0,0,0,0,0
41600,4100,CS-3400,0,0,0,0,1,1,9,1,1,9,0,0
41601,4100,KR-1050,0,0,0,0,1,1,2,0,0,0,0,0
41602,4100,MI-0100,0,0,0,0,3,0,2,0,0,0,0,0
41603,4100,DB-3800,4,3,31,0,0,0,0,0,0,0,0,0
41604,4100,WS-0925,0,0,0,0,0,0,0,1,1,2,0,0
41605,4100,WT-0600,0,0,0,0,0,0,0,1,1,7,0,0
41606,4100,SV-0200,0,0,0,0,0,0,0,2,1,2,0,0
41607,4100,JH-4070,0,0,0,0,0,0,0,1,0,0,0,0
41608,4100,BW-0700,0,0,0,0,0,0,0,1,1,20,0,0
41609,4100,RJ-0800,0,0,0,0,1,1,5,0,0,0,0,0
41610,4100,DH-1800,0,0,0,0,0,0,0,2,2,29,0,0
41611,4101,JM-3450,0,0,0,0,1,0,2,0,0,0,0,0
41612,4101,JC-6200,2,1,11,0,1,1,4,0,0,0,0,0
41613,4101,AJ-0430,0,0,0,0,0,0,0,2,1,11,0,0
41614,4101,JL-0280,0,0,0,0,1,0,2,0,0,0,0,0
41615,4102,JF-1900,6,4,39,0,1,1,1,0,0,0,0,0
41616,4102,JF-2800,0,0,0,0,3,1,9,1,1,5,0,0
41617,4102,JR-3270,0,0,0,0,0,0,0,3,1,12,0,0
41618,4102,MG-1150,0,0,0,0,2,1,4,0,0,0,0,0
41619,4102,PR-0300,4,3,29,0,0,0,0,0,0,0,0,0
41620,4102,JP-2800,0,0,0,0,0,0,0,1,1,7,0,0
41621,4102,MF-0800,0,0,0,0,0,0,0,1,1,9,0,0
41622,4102,JA-1025,0,0,0,0,1,1,3,1,1,19,0,0
41623,4102,CG-1030,0,0,0,0,0,0,0,1,1,3,0,0
41624,4102,KA-0650,0,0,0,0,0,0,0,1,1,13,0,0
41625,4103,BR-1100,5,2,13,0,0,0,0,0,0,0,0,0
41626,4103,AB-3500,0,0,0,0,0,0,0,4,2,13,0,0
41627,4103,HM-0200,0,0,0,0,0,0,0,1,0,0,0,0
41628,4103,LB-0250,0,0,0,0,1,1,5,0,0,0,0,0
41629,4103,JH-4025,0,0,0,0,1,0,-1,1,1,8,0,0
41630,4103,GB-0350,0,0,0,0,1,1,12,0,0,0,0,0
41631,4103,AD-0100,6,2,17,1,0,0,0,0,0,0,0,0
41632,4103,AG-1500,0,0,0,0,0,0,0,4,1,9,0,0
41633,4103,MJ-2250,0,0,0,0,0,0,0,1,0,0,0,0
41634,4104,AA-1350,0,0,0,0,1,0,2,0,0,0,0,0
41635,4104,ZM-0150,1,0,0,0,0,0,0,0,0,0,0,0
41636,4104,DM-1200,0,0,0,0,0,0,0,1,0,0,0,0
41637,4104,BH-1900,2,1,1,0,0,0,0,0,0,0,0,0
41638,4104,DH-3950,0,0,0,0,0,0,0,1,0,0,0,0
41639,4104,CP-1950,0,0,0,0,1,0,3,0,0,0,0,0
41640,4104,CF-0375,0,0,0,0,0,0,0,1,1,1,0,0
41641,4105,DC-0725,2,1,5,0,0,0,0,0,0,0,0,0
41642,4105,MC-2900,0,0,0,0,0,0,0,1,0,0,0,0
41643,4105,LM-1850,0,0,0,0,2,1,7,0,0,0,0,0
41644,4105,AH-3600,0,0,0,0,0,0,0,1,1,5,0,0
41645,4105,GS-1050,5,3,14,0,0,0,0,0,0,0,0,0
41646,4105,BM-0300,0,0,0,0,0,0,0,2,0,0,0,0
41647,4105,CI-0300,0,0,0,0,1,0,0,1,1,9,0,0
41648,4105,ED-0200,0,0,0,0,0,0,0,1,1,4,0,0
41649,4105,KD-0400,0,0,0,0,0,0,0,1,1,1,0,0
41650,4106,ML-2500,0,0,0,0,6,2,4,0,0,0,0,0
41651,4106,RW-3850,1,0,0,0,2,1,15,0,0,0,0,0
41652,4106,JK-0250,0,0,0,0,0,0,0,1,0,0,0,0
41653,4106,DM-1600,0,0,0,0,1,1,4,1,1,3,0,0
41654,4106,MC-0700,2,1,3,0,0,0,0,0,0,0,0,0
41655,4106,CB-1130,0,0,0,0,0,0,0,1,0,0,0,0
41656,4107,RH-2350,0,0,0,0,4,2,17,1,0,0,0,0
41657,4107,PM-0200,3,2,11,0,0,0,0,0,0,0,0,0
41658,4107,DT-0900,0,0,0,0,0,0,0,1,1,6,0,0
41659,4107,AC-0100,0,0,0,0,0,0,0,0,0,0,0,10
41660,4107,EL-0010,0,0,0,0,2,1,3,0,0,0,0,0
41661,4107,CA-0750,0,0,0,0,0,0,0,1,1,5,0,0
41662,4108,JS-6700,0,0,0,0,4,2,26,0,0,0,0,0
41663,4108,CN-0500,2,1,8,0,4,2,14,0,0,0,1,0
41664,4108,GO-0100,0,0,0,0,0,0,0,1,0,0,0,0
41665,4108,AL-1100,8,5,38,0,1,1,6,0,0,0,0,0
41666,4108,CF-0650,0,0,0,0,0,0,0,5,4,20,0,0
41667,4108,FW-0750,0,0,0,0,1,1,3,0,0,0,0,0
41668,4108,CB-3850,0,0,0,0,0,0,0,1,1,8,0,0
41669,4108,AJ-0900,0,0,0,0,0,0,0,2,1,18,0,0
41670,4109,JH-4025,0,0,0,0,2,1,4,0,0,0,0,0
41671,4109,AD-0100,7,6,45,0,1,0,-5,0,0,0,0,0
41672,4109,MS-0150,0,0,0,0,0,0,0,1,1,7,0,0
41673,4109,TE-0300,0,0,0,0,0,0,0,4,4,35,0,0
41674,4109,JM-0850,6,2,16,0,1,1,7,0,0,0,0,0
41675,4109,DB-3200,0,0,0,0,0,0,0,2,1,4,0,0
41676,4109,DJ-1850,0,0,0,0,2,0,-5,1,1,12,0,0
41677,4109,TG-0025,0,0,0,0,0,0,0,1,0,0,0,0
41678,4109,GB-0200,0,0,0,0,0,0,0,1,0,0,0,0
41679,4109,MJ-2250,0,0,0,0,0,0,0,1,1,3,0,0
41680,4109,GB-0350,0,0,0,0,4,2,9,0,0,0,0,0
41681,4109,IC-0300,0,0,0,0,1,1,5,0,0,0,0,0
41682,4109,TB-1060,0,0,0,0,0,0,0,1,0,0,0,0
41683,4110,CN-0500,7,4,30,0,2,2,8,0,0,0,0,0
41684,4110,JC-5400,0,0,0,0,0,0,0,3,1,7,0,0
41685,4110,MT-1300,0,0,0,0,1,0,1,0,0,0,0,0
41686,4110,CB-3850,0,0,0,0,0,0,0,1,0,0,0,0
41687,4110,JS-6200,0,0,0,0,2,1,15,2,1,17,0,0
41688,4110,EL-0010,0,0,0,0,1,1,3,0,0,0,0,0
41689,4110,AR-1300,9,4,29,1,1,0,5,0,0,0,0,0
41690,4110,RR-1050,0,0,0,0,0,0,0,2,2,4,0,0
41691,4110,JS-6700,0,0,0,0,3,1,18,1,1,2,0,0
41692,4110,GO-0100,0,0,0,0,0,0,0,1,1,7,0,0
41693,4110,DF-2200,0,0,0,0,0,0,0,1,1,14,0,0
41694,4110,DA-0212,0,0,0,0,0,0,0,1,0,0,0,0
41695,4110,RC-1500,0,0,0,0,0,0,0,3,1,8,0,0
41696,4110,JJ-4200,0,0,0,0,0,0,0,1,0,0,0,0
41697,4111,TB-2300,9,5,51,1,0,0,0,0,0,0,0,0
41698,4111,JE-0100,0,0,0,0,0,0,0,2,1,8,0,0
41699,4111,BL-0100,0,0,0,0,0,0,0,2,1,7,0,0
41700,4111,LB-0500,0,0,0,0,7,3,15,0,0,0,0,0
41701,4111,SC-0400,0,0,0,0,0,0,0,1,0,0,0,0
41702,4111,RG-2200,0,0,0,0,0,0,0,1,0,0,0,10
41703,4111,DL-1700,0,0,0,0,0,0,0,1,1,8,0,0
41704,4111,KC-2350,7,4,30,0,0,0,0,0,0,0,0,0
41705,4111,JR-1150,0,0,0,0,0,0,0,3,2,9,0,0
41706,4111,MJ-2275,0,0,0,0,2,1,0,0,0,0,0,0
41707,4111,DJ-0200,0,0,0,0,0,0,0,1,0,0,0,0
41708,4111,AR-1100,0,0,0,0,0,0,0,1,1,8,0,0
41709,4111,DA-0900,0,0,0,0,0,0,0,1,1,10,0,0
41710,4111,BB-2250,0,0,0,0,0,0,0,1,1,18,0,0
41711,4111,CT-1220,0,0,0,0,0,0,0,1,1,13,0,0
41712,4111,PG-0100,0,0,0,0,0,0,0,1,0,0,0,0
41713,4112,MI-0100,0,0,0,0,4,0,2,1,1,14,0,0
41714,4112,DB-3800,3,3,25,0,1,1,1,0,0,0,0,0
41715,4112,JH-4070,0,0,0,0,0,0,0,1,1,10,0,0
41716,4112,DM-1200,0,0,0,0,2,0,3,0,0,0,1,0
41717,4112,MM-0912,8,7,40,0,1,1,5,0,0,0,0,0
41718,4112,DW-0500,0,0,0,0,0,0,0,3,3,17,0,0
41719,4112,AA-1350,0,0,0,0,3,0,3,0,0,0,0,0
41720,4112,DG-2650,0,0,0,0,0,0,0,2,1,9,0,0
41721,4112,CS-3900,0,0,0,0,0,0,0,1,1,1,0,0
41722,4112,MH-3300,0,0,0,0,0,0,0,1,1,1,0,0
41723,4112,JH-6400,0,0,0,0,0,0,0,1,1,8,0,0
41724,4112,AF-0200,0,0,0,0,0,0,0,1,1,5,0,0
41725,4113,LM-1150,0,0,0,0,3,2,4,1,1,6,0,0
41726,4113,RT-0150,5,3,21,0,0,0,0,0,0,0,0,0
41727,4113,JC-0400,0,0,0,0,0,0,0,1,1,6,0,0
41728,4113,DS-2170,0,0,0,0,0,0,0,2,1,9,0,0
41729,4113,KW-1150,0,0,0,0,1,1,11,0,0,0,0,0
41730,4113,JA-0450,0,0,0,0,1,1,6,0,0,0,0,0
41731,4113,KS-2350,0,0,0,0,0,0,0,1,0,0,0,0
41732,4113,TT-0500,0,0,0,0,3,0,-4,0,0,0,0,0
41733,4114,AP-0700,0,0,0,0,3,1,6,0,0,0,0,0
41734,4114,TB-2650,3,2,15,0,1,1,6,0,0,0,0,0
41735,4114,CJ-1450,0,0,0,0,0,0,0,1,0,0,0,0
41736,4114,MP-2350,0,0,0,0,0,0,0,1,1,6,0,0
41737,4114,TG-1950,0,0,0,0,2,2,6,0,0,0,0,0
41738,4114,NF-0250,1,0,0,0,0,0,0,0,0,0,0,0
41739,4114,JC-4300,0,0,0,0,0,0,0,1,0,0,0,0
41740,4114,JM-3450,0,0,0,0,0,0,0,1,1,9,0,0
41741,4115,TY-0150,0,0,0,0,1,0,-1,0,0,0,0,0
41742,4115,CI-0300,0,0,0,0,5,3,11,1,1,16,0,0
41743,4115,RF-0500,5,3,43,0,0,0,0,0,0,0,0,0
41744,4115,ED-0200,0,0,0,0,0,0,0,2,1,7,0,0
