uid,gid,fpid,tname,drvn,obt,qtr,min,sec,yfog,plays,succ,rfd,pfd,ofd,ry,ra,py,pa,pc,peyf,peya,net,res
96120,4103,671646,CIN,12,INT,4,0,57,74,4,0,0,0,0,0,3,0,0,0,0,0,0,FG
96121,4103,671651,PIT,12,KOFF,4,1,47,20,9,5,0,3,1,0,0,67,9,6,2,5,64,ENDQ
96122,4104,671663,HOU,1,KOFF,1,1,9,23,3,1,0,0,0,0,0,6,3,1,0,0,6,PUNT
96123,4104,671667,TEN,1,PUNT,1,4,46,24,10,6,0,3,0,22,5,22,4,3,15,0,59,FG
96124,4104,671678,HOU,2,KOFF,1,1,24,20,3,1,0,0,0,1,1,6,2,1,0,0,7,PUNT
96125,4104,671682,TEN,2,PUNT,1,2,2,20,3,1,0,0,0,8,3,0,0,0,0,0,8,PUNT
96126,4104,671686,HOU,3,PUNT,1,2,52,23,7,2,0,2,0,10,3,19,4,2,0,0,29,PUNT
96127,4104,671694,TEN,3,PUNT,1,2,15,6,3,0,0,0,0,-1,2,0,1,1,0,0,-1,PUNT
96128,4104,671698,HOU,4,PUNT,1,1,37,46,5,3,0,3,0,0,0,54,5,4,0,0,54,TD
96129,4104,671705,HOU,5,KOFF,2,2,21,76,4,0,0,0,0,1,1,3,2,2,5,5,4,FG
96130,4104,671712,TEN,4,KOFF,2,1,49,9,3,0,0,0,0,5,2,0,1,0,0,0,5,PUNT
96131,4104,671716,HOU,6,PUNT,2,4,13,34,5,1,0,0,1,0,1,33,4,4,5,20,18,PUNT
96132,4104,671725,TEN,5,PUNT,2,1,58,20,4,2,0,0,1,7,1,9,3,1,15,0,31,PUNT
96133,4104,671731,HOU,7,PUNT,2,1,44,10,3,0,0,0,0,3,2,-8,1,0,0,0,-5,PUNT
96134,4104,671735,TEN,6,PUNT,2,1,8,72,3,0,0,0,0,0,0,-4,3,1,0,15,-19,PUNT
96135,4104,671739,HOU,8,PUNT,2,0,42,11,2,0,0,0,0,-1,1,-7,1,0,0,0,-8,ENDQ
96136,4104,671742,TEN,7,KOFF,3,3,30,25,5,2,0,1,0,1,1,22,4,3,0,10,13,PUNT
96137,4104,671748,HOU,9,PUNT,3,2,27,7,5,2,0,1,0,9,2,20,3,2,0,15,14,PUNT
96138,4104,671754,TEN,8,PUNT,3,3,9,30,6,2,1,1,0,28,2,16,3,3,0,0,44,FG
96139,4104,671761,HOU,10,KOFF,3,2,16,20,6,5,0,4,0,0,0,80,6,5,0,0,80,TD
96140,4104,671769,TEN,9,KOFF,3,3,46,28,7,5,2,0,0,14,3,8,4,2,0,0,22,INT
96141,4104,671776,HOU,11,INT,4,0,55,53,3,0,0,0,0,2,1,0,2,0,0,0,2,PUNT
96142,4104,671780,TEN,10,PUNT,4,0,8,11,1,0,0,1,1,0,0,-1,1,0,0,0,-1,FUM
96143,4104,671781,HOU,12,FUM,4,1,16,90,4,0,0,0,1,3,1,1,2,1,0,0,4,FG
96144,4104,671786,TEN,11,KOFF,4,2,45,20,4,1,0,1,0,0,0,4,4,2,15,0,19,PUNT
96145,4104,671791,HOU,13,PUNT,4,2,30,20,5,2,1,0,0,13,3,-6,2,0,0,0,7,PUNT
96146,4104,671797,TEN,12,PUNT,4,2,41,25,8,3,0,2,0,2,1,35,7,4,0,5,32,DWNS
96147,4104,671806,HOU,14,DWNS,4,3,35,43,8,3,0,1,0,15,7,13,1,1,5,0,33,DWNS
96148,4104,671814,TEN,13,DWNS,4,1,2,24,3,1,0,1,0,0,0,14,3,2,0,0,14,ENDQ
96149,4105,671818,NYJ,1,KOFF,1,7,44,15,13,7,1,2,0,19,8,44,4,4,0,0,63,FG
96150,4105,671832,OAK,1,KOFF,1,5,20,22,10,6,2,2,1,36,4,32,6,4,10,0,78,TD
96151,4105,671846,NYJ,2,KOFF,1,1,33,20,3,0,0,0,0,1,1,4,2,1,15,0,20,PUNT
96152,4105,671851,OAK,2,PUNT,1,5,46,24,10,6,0,4,0,9,4,67,6,6,0,0,76,TD
96153,4105,671863,NYJ,3,KOFF,2,1,45,20,3,1,0,0,0,7,2,0,1,0,0,0,7,PUNT
96154,4105,671867,OAK,3,PUNT,2,2,41,22,5,4,1,1,0,14,2,64,3,3,0,0,78,TD
96155,4105,671874,NYJ,4,KOFF,2,0,9,20,1,0,0,0,0,0,0,0,1,0,0,0,0,INT
96156,4105,671875,OAK,4,INT,2,2,49,35,7,2,1,1,0,16,3,15,3,1,0,0,31,MFG
96157,4105,671882,NYJ,5,MFG,2,1,33,42,8,4,1,1,0,9,2,34,5,4,0,5,38,FG
96158,4105,671892,OAK,5,KOFF,2,0,40,13,1,0,0,0,0,-1,1,0,0,0,0,0,-1,ENDQ
96159,4105,671894,OAK,6,KOFF,3,3,54,7,6,5,1,3,0,10,3,83,3,3,0,0,93,TD
96160,4105,671902,NYJ,6,KOFF,3,3,47,20,9,8,1,4,0,12,3,68,6,6,0,0,80,TD
96161,4105,671913,OAK,7,KOFF,3,1,34,36,5,2,1,0,0,25,1,6,3,1,0,0,31,FG
96162,4105,671919,NYJ,7,KOFF,3,2,44,20,5,3,0,1,0,0,0,21,5,3,0,5,21,PUNT
96163,4105,671926,OAK,8,PUNT,3,5,12,7,10,4,1,2,0,11,3,64,6,4,0,10,65,FG
96164,4105,671938,NYJ,8,KOFF,4,4,12,29,10,6,1,3,1,25,3,32,7,5,14,0,71,TD
96165,4105,671951,OAK,9,KOFF,4,1,3,20,3,0,0,0,0,0,1,0,2,0,0,0,0,PUNT
96166,4105,671955,NYJ,9,PUNT,4,2,1,35,7,2,0,1,0,-1,1,28,6,3,0,0,27,DWNS
96167,4105,671962,OAK,10,DWNS,4,0,51,38,3,0,0,0,0,-2,1,2,2,1,0,0,0,PUNT
96168,4105,671966,NYJ,10,PUNT,4,1,23,18,3,1,0,0,0,0,0,3,3,1,0,0,3,PUNT
96169,4105,671970,OAK,11,PUNT,4,0,25,31,3,0,0,0,0,1,1,0,2,0,0,0,1,PUNT
96170,4105,671974,NYJ,11,PUNT,4,2,31,22,11,4,0,4,0,2,1,58,10,4,0,10,50,DWNS
96171,4105,671985,OAK,12,DWNS,4,0,23,28,1,0,0,0,0,-1,1,0,0,0,0,0,-1,ENDQ
96172,4106,671987,SEA,1,KOFF,1,6,13,20,12,7,2,2,0,19,6,53,5,4,0,0,72,FG
96173,4106,672000,DAL,1,KOFF,1,8,4,20,15,7,3,1,0,32,8,38,6,4,0,5,65,FG
96174,4106,672017,SEA,2,KOFF,1,0,57,20,3,0,0,0,0,4,1,0,2,0,0,0,4,PUNT
96175,4106,672021,DAL,2,PUNT,2,2,16,23,3,0,0,0,0,-2,1,9,2,2,0,0,7,PUNT
96176,4106,672025,SEA,3,PUNT,2,1,46,22,3,0,0,0,0,-1,1,3,2,1,0,0,2,PUNT
96177,4106,672029,DAL,3,PUNT,2,1,37,25,3,0,0,0,0,1,2,0,1,0,0,0,1,PUNT
96178,4106,672033,SEA,4,PUNT,2,3,38,35,7,4,1,3,0,13,3,52,4,3,0,0,65,TD
96179,4106,672042,DAL,4,KOFF,2,3,55,20,10,4,3,0,0,44,5,14,4,2,5,0,63,FG
96180,4106,672053,SEA,5,KOFF,2,1,22,20,3,1,0,0,0,0,0,11,3,2,0,5,6,PUNT
96181,4106,672058,DAL,5,PUNT,2,0,12,15,1,0,0,0,0,-1,1,0,0,0,0,0,-1,ENDQ
96182,4106,672060,DAL,6,KOFF,3,6,9,20,12,6,2,2,0,30,6,21,5,2,0,5,46,FG
96183,4106,672074,SEA,6,KOFF,3,1,34,26,3,0,0,0,0,3,1,3,2,1,0,0,6,PUNT
96184,4106,672078,DAL,7,PUNT,3,3,58,21,6,2,0,1,0,14,3,12,3,2,0,0,26,PUNT
96185,4106,672085,SEA,7,PUNT,3,3,4,5,5,4,1,1,0,14,2,20,3,2,0,5,29,INT
96186,4106,672091,DAL,8,INT,3,0,48,84,4,1,0,0,0,4,1,3,2,1,0,0,7,FG
96187,4106,672096,SEA,8,KOFF,4,5,28,20,10,6,2,1,0,26,6,25,3,2,0,0,51,FUM
96188,4106,672106,DAL,9,FUM,4,2,18,27,3,1,0,0,1,7,3,0,0,0,0,0,7,PUNT
96189,4106,672110,SEA,9,PUNT,4,5,35,15,17,9,2,4,0,36,10,43,6,4,0,0,79,FG
96190,4106,672128,DAL,10,KOFF,4,1,5,20,4,0,0,0,0,0,0,-6,4,0,15,5,4,DWNS
96191,4106,672134,SEA,10,DWNS,4,0,1,76,1,0,0,0,0,-1,1,0,0,0,0,0,-1,ENDQ
96192,4107,672136,DEN,1,KOFF,1,2,16,20,4,1,0,1,0,1,1,24,3,2,0,0,25,PUNT
96193,4107,672142,GB,1,PUNT,1,3,8,23,6,2,1,0,0,15,3,-2,3,1,5,5,13,PUNT
96194,4107,672151,DEN,2,PUNT,1,4,57,17,9,7,3,2,0,37,6,46,3,3,0,0,83,TD
96195,4107,672162,GB,2,KOFF,1,2,54,18,5,3,0,1,0,0,0,17,5,4,0,0,17,PUNT
96196,4107,672168,DEN,3,PUNT,1,2,43,15,6,4,1,3,0,13,2,82,4,3,0,10,85,TD
96197,4107,672177,GB,3,KOFF,2,2,4,20,3,1,0,0,0,1,2,8,1,1,0,0,9,PUNT
96198,4107,672181,DEN,4,PUNT,2,4,12,22,8,4,1,1,0,33,5,18,2,1,0,5,46,FG
96199,4107,672191,GB,4,KOFF,2,4,48,20,10,6,4,1,1,47,7,14,3,2,19,0,80,TD
96200,4107,672205,DEN,5,KOFF,2,2,58,20,8,4,0,3,0,-1,2,42,6,5,0,20,21,PUNT
96201,4107,672217,GB,5,KOFF,3,5,53,20,11,3,2,0,1,24,6,13,4,2,14,10,41,FG
96202,4107,672231,DEN,6,KOFF,3,3,42,20,8,4,1,2,0,27,4,53,4,3,0,0,80,TD
96203,4107,672241,GB,6,KOFF,3,3,15,20,6,1,0,1,0,1,1,12,5,2,5,0,18,PUNT
96204,4107,672249,DEN,7,PUNT,3,4,45,20,9,3,1,2,0,13,4,61,4,3,0,0,74,FG
96205,4107,672259,GB,7,KOFF,4,0,16,13,1,0,0,0,0,0,0,-10,1,0,0,0,-10,SAF
96206,4107,672261,DEN,8,KOFF,4,2,12,37,5,3,0,1,0,7,2,14,3,1,0,0,21,INT
96207,4107,672266,GB,8,INT,4,3,6,29,3,0,0,0,0,0,0,-2,3,2,5,0,3,PUNT
96208,4107,672271,DEN,9,PUNT,4,5,42,27,8,5,2,0,0,30,8,0,0,0,0,0,30,PUNT
96209,4107,672280,GB,9,PUNT,4,1,9,10,2,0,0,0,0,2,2,0,0,0,0,0,2,ENDQ
96210,4108,672283,IND,1,KOFF,1,0,35,22,2,0,1,0,0,0,1,3,1,1,0,0,3,FUM
96211,4108,672285,CAR,1,FUM,1,0,44,76,4,0,0,0,1,3,1,0,2,0,0,0,3,FG
96212,4108,672290,IND,2,KOFF,1,1,17,20,3,1,0,0,0,7,2,0,1,0,0,0,7,INT
96213,4108,672293,CAR,2,INT,1,5,3,63,11,3,2,1,0,24,7,13,4,1,5,5,37,TD
96214,4108,672308,IND,3,KOFF,1,2,47,28,6,2,1,0,0,26,4,0,2,0,0,0,26,PUNT
96215,4108,672315,CAR,3,PUNT,1,2,9,4,3,1,0,0,0,8,2,0,1,0,0,0,8,PUNT
96216,4108,672319,IND,4,PUNT,1,2,0,37,3,0,0,0,0,9,1,-1,2,0,5,10,3,PUNT
96217,4108,672325,CAR,4,PUNT,1,0,45,10,3,0,0,0,0,3,1,0,2,0,0,0,3,PUNT
96218,4108,672329,IND,5,PUNT,2,4,16,44,7,3,0,1,0,6,4,21,2,2,0,0,27,FG
96219,4108,672337,CAR,5,KOFF,2,2,16,16,4,3,2,0,1,11,3,7,1,1,0,15,18,FUM
96220,4108,672341,IND,6,FUM,2,1,4,78,4,1,0,0,1,6,1,0,2,0,0,0,6,FG
96221,4108,672346,CAR,6,KOFF,2,0,58,23,3,1,0,1,0,0,0,11,3,1,0,0,11,INT
96222,4108,672349,IND,7,INT,2,3,36,27,5,3,0,1,0,7,4,13,1,1,0,0,20,PUNT
96223,4108,672355,CAR,7,PUNT,2,1,39,20,6,2,0,1,0,-9,2,57,4,3,0,10,48,PUNT
96224,4108,672363,IND,8,PUNT,2,0,51,8,2,2,0,0,0,17,2,0,0,0,0,0,17,ENDQ
96225,4108,672366,CAR,8,KOFF,3,3,48,20,7,3,2,0,0,36,5,0,2,0,0,0,36,PUNT
96226,4108,672374,IND,9,PUNT,3,4,39,20,8,4,2,0,0,25,7,3,1,1,0,0,28,PUNT
96227,4108,672383,CAR,9,PUNT,3,4,10,20,8,5,3,1,0,33,5,46,3,2,0,0,79,FUM
96228,4108,672391,IND,10,FUM,3,1,22,3,3,0,0,0,1,1,1,0,2,0,0,0,1,PUNT
96229,4108,672395,CAR,10,PUNT,3,0,47,71,2,1,0,1,0,2,1,27,1,1,0,0,29,TD
96230,4108,672399,IND,11,KOFF,3,1,8,20,3,0,0,0,0,1,1,-7,2,0,0,0,-6,PUNT
96231,4108,672403,CAR,11,PUNT,4,1,41,24,3,0,0,0,0,2,1,-9,2,0,0,0,-7,PUNT
96232,4108,672407,IND,12,PUNT,4,0,17,23,2,0,0,0,0,0,0,0,2,0,0,0,0,INT
96233,4108,672409,CAR,12,INT,4,1,24,70,3,3,0,2,0,3,1,27,2,2,0,0,30,TD
