tid,gid,tname,pts,q1p,q2p,q3p,q4p,rfd,pfd,ifd,ry,ra,py,pa,pc,sk,ints,fum,pu,gpy,pr,pry,kr,kry,ir,iry,pen,top,td,tdr,tdp,tdt,fgm,fgat,fgy,rza,rzc,bry,bpy,srp,s1rp,s2rp,s3rp,spp,s1pp,s2pp,s3pp,lea,ley,lta,lty,lga,lgy,mda,mdy,rga,rgy,rta,rty,rea,rey,r1a,r1y,r2a,r2y,r3a,r3y,qba,qby,sla,sly,sma,smy,sra,sry,dla,dly,dma,dmy,dra,dry,wr1a,wr1y,wr3a,wr3y,tea,tey,rba,rby,sga,sgy,p1a,p1y,p2a,p2y,p3a,p3y,spc,mpc,lpc,q1ra,q1ry,q1pa,q1py,lcra,lcry,lcpa,lcpy,rzra,rzry,rzpa,rzpy,sky,lbs,dbs,sfpy,drv,npy,tb,i20,rtd,lnr,lnp,lbr,lbp,dbr,dbp,nha,s3a,s3c,l3a,l3c,stf,dp,fsp,ohp,pbep,dlp,dsp,dum,pfn,snpo,snpd
8193,4097,TB,23,3,10,7,0,5,11,5,118,33,173,29,16,2,0,0,3,127,0,0,0,0,1,15,43,30,2,1,1,0,3,3,92,3,1,49,69,15,9,5,1,12,3,4,5,3,8,4,9,7,35,0,0,6,24,5,13,6,29,19,70,9,49,3,-1,2,25,6,26,5,25,12,57,2,28,1,20,3,21,9,48,9,18,6,80,5,31,24,158,7,61,13,48,11,64,4,8,4,7,28,2,0,11,39,10,38,6,10,7,29,4,1,0,295,10,104,0,1,0,13.5,0,3.5,12.5,8,23.5,0,3,0,7,3,7,0,1,2,1,4,0,1,0,70,80
8194,4097,ATL,20,3,0,7,10,7,19,2,101,27,395,45,37,1,1,3,0,0,2,23,2,58,0,0,124,39,2,0,2,0,2,2,45,5,2,50,56,13,7,4,2,36,20,10,6,6,26,4,17,4,9,2,0,4,42,2,5,5,2,14,74,9,25,4,2,3,2,18,148,15,123,11,105,0,0,0,0,1,21,16,186,5,32,13,110,11,69,39,310,21,229,14,102,11,64,7,22,8,8,9,10,124,0,0,10,67,11,8,8,56,2,1,1,265,10,0,0,0,0,16.5,2.5,3.5,5,10,8.5,5,6,4,5,3,8,0,2,5,0,2,3,1,1,80,70
8195,4098,ARI,34,7,3,14,10,6,17,2,121,40,372,37,23,1,1,3,2,100,4,50,3,63,1,0,25,34.5,4,0,4,0,2,2,72,5,3,13,219,22,12,6,4,22,5,8,9,1,0,4,20,12,35,1,8,10,34,8,24,0,0,22,70,10,31,4,20,1,8,9,107,1,6,15,76,4,105,2,20,6,60,19,190,8,109,6,31,4,44,26,238,10,141,16,93,12,138,2,13,8,9,28,10,85,5,21,7,59,6,25,5,18,2,0,0,382,13,81,0,0,0,8.5,2,2.5,3.5,8,12.5,1,5,5,6,4,7,0,2,1,1,0,3,1,0,81,63
8196,4098,CLE,20,7,13,0,0,1,12,3,39,20,215,40,21,1,1,1,6,299,2,19,2,46,1,0,35,25.5,3,0,3,0,0,0,0,3,3,10,52,7,4,2,1,18,6,4,8,1,-7,1,1,5,21,3,2,9,16,1,6,0,0,12,12,6,24,2,3,6,19,10,55,10,126,14,42,5,0,0,0,1,0,15,58,8,32,13,53,4,80,40,222,13,75,13,39,15,101,6,11,4,5,10,6,68,0,0,1,0,5,15,6,15,8,0,0,390,12,249,0,2,0,15.5,3,7.5,3,13,13,7,4,3,6,4,10,0,2,0,1,2,3,0,0,63,81
8197,4099,SF,6,3,3,0,0,1,8,2,39,22,151,41,20,3,0,0,10,460,5,38,2,49,0,0,93,28,0,0,0,0,2,2,80,1,0,0,33,2,0,1,1,12,6,4,2,3,10,2,-3,1,5,9,14,2,-1,1,-1,2,15,9,7,8,18,3,14,5,29,7,13,6,20,20,96,2,0,3,0,3,33,5,19,17,75,11,37,8,31,36,162,16,72,13,44,15,35,8,10,2,10,14,10,39,0,0,0,0,0,0,3,2,11,0,0,330,15,441,1,4,0,15,0,15,3.5,6,8.5,2,3,0,12,2,9,0,1,4,3,1,1,4,2,67,69
8198,4099,STL,27,2,18,0,7,7,5,4,200,44,191,23,14,0,0,1,8,436,3,1,2,19,0,0,93,32,3,2,1,0,1,2,38,1,1,84,135,15,9,6,0,8,3,4,1,2,-7,10,31,1,1,8,79,4,23,9,29,4,13,20,108,15,54,3,7,0,0,3,74,1,0,13,42,3,69,1,0,2,0,9,92,5,10,5,64,4,19,29,330,7,34,8,91,8,60,7,3,4,6,15,8,38,0,0,0,0,1,2,2,-2,0,0,0,390,15,398,0,4,0,9,4.5,3,4,8,12.5,12,0,0,7,0,7,2,0,2,2,2,1,3,2,69,67
8199,4100,NYG,49,7,14,7,21,5,16,7,87,21,329,41,30,3,0,1,4,212,1,13,5,169,1,2,53,25,7,0,6,1,0,0,0,4,4,46,179,9,6,3,0,25,12,10,3,0,0,0,0,10,47,0,0,10,39,1,1,0,0,16,58,4,30,1,-1,0,0,16,111,6,38,13,90,1,0,2,41,3,70,18,185,8,45,3,29,12,91,47,324,16,151,19,154,9,37,7,16,7,7,23,12,106,0,0,6,70,5,4,9,48,21,0,0,292,11,162,1,1,0,13.5,0,6.5,8,6,25,12,2,1,5,1,6,7,1,3,1,1,0,2,0,73,78
8200,4100,NO,52,14,14,14,10,10,24,1,103,26,511,50,40,0,1,1,2,95,2,30,2,26,0,0,93,35,7,0,7,0,1,1,50,2,2,48,246,14,7,4,3,34,17,12,5,4,18,4,26,9,28,1,1,6,19,0,0,2,11,15,63,8,18,3,22,1,1,14,135,9,113,17,96,4,42,2,45,4,80,17,202,9,90,13,152,11,67,41,408,24,244,17,205,9,62,9,20,11,5,14,9,162,7,28,16,103,5,13,4,31,0,2,0,336,12,82,0,0,0,7,0,9.5,6,4.5,18,3,4,4,5,2,7,0,4,1,0,1,5,2,0,78,73
8201,4101,MIN,23,7,3,0,13,8,7,2,147,25,180,30,17,1,1,0,4,134,3,77,3,55,0,0,35,27.5,2,0,1,0,3,3,127,2,0,70,95,15,9,6,0,14,5,4,5,4,24,6,21,5,31,0,0,4,15,6,56,0,0,15,91,9,58,1,-2,2,21,12,84,1,16,11,52,1,0,0,0,3,35,16,95,3,43,5,37,5,12,26,198,10,31,10,67,11,82,6,6,5,7,25,6,18,3,32,11,107,1,2,0,0,7,0,0,256,10,131,0,3,1,7.5,2,6.5,4.5,10,15.5,3,1,0,6,2,2,0,2,1,0,0,0,1,0,58,61
8202,4101,CHI,20,3,7,3,7,6,11,1,97,25,208,33,22,1,0,0,5,221,2,3,3,78,1,15,38,32.5,2,1,1,0,2,3,88,2,1,14,69,11,6,5,0,14,5,5,4,0,0,4,20,3,9,0,0,7,33,7,21,4,14,14,54,11,43,0,0,2,11,10,29,0,0,14,94,3,41,1,19,5,28,18,118,5,33,5,32,5,28,46,324,11,61,10,75,13,72,8,8,6,7,28,5,8,9,32,8,47,2,6,2,11,3,0,0,259,10,144,0,1,0,6.5,2.5,8,5,8.5,8.5,17,2,1,8,3,3,0,0,2,0,0,1,1,0,61,58
